fundRUNSeries,netPatrimony,providedFlow,rescuedFlow
8038-1LPI,35667237.89041096,368247.5286017792,246102.6842620405
8038-1O,3185276319.838356,28488610.617207304,14607027.934775282
8038-1PLAN1,51349936.28767123,50400.822027962735,142282.0165434656
8038-1PLAN2,69144087.52876712,16217.096594826744,51347.9907103671
8038-1PLAN3,223289584.46849316,322759.7789209894,552289.6086030012
8038-1PLAN4,525009899.0219178,574372.6490207557,857716.9797549709
8043-8A,15971113898.516666,5337839.509509548,25299976.587995097
8043-8B,2738046413.3516483,2526054.278705796,4119438.0210977714
8043-8BCH,342330852.9011407,1258555.1336523907,0.0
8043-8BPLUS,164952398.9090909,6248838.936086079,4644175.327219535
8043-8C,3438069027.5833335,1421664.583432521,7701532.801387772
8043-8L,13483233976.902912,24876884.057130978,23953819.94590784
8043-8M,3438025704.4401293,7397125.157097762,6601302.872465254
8046-2APV,123625491.21052632,37984.67536468664,138402.9349850919
8046-2CLASICA,1161395138.8906882,815326.9811938101,835285.7714056481
8046-2INSTITUCIO,387568136.6680162,46467.43371399398,0.0
8046-2K,1426962602.0040486,174430.07278110035,3105022.376681208
8046-2LARGOPLAZO,205295117.2348178,47604.04629717088,320708.6756081664
8046-2LIQUIDEZ,2620131467.8299594,2758022.5516231647,3862101.658369181
8046-2PATRIMONIA,665543350.2186235,79804.43310611224,0.0
8048-9A,32617929455.204918,1385423027.6062756,1571559133.090225
8048-9B,3423428178.7868853,34791385.71751728,46700291.3518166
8048-9I,2050365401.5081968,8417547.83944075,15732614.783370856
8048-9S,-0.08196721311475409,0.0,0.0
8049-7A,32608330167.438354,269672640.1118807,277703571.7396923
8049-7AFP,15594598150.021671,560379174.902954,529694584.18814874
8049-7B,552519725889.2466,261162261781.89996,261626524071.8936
8049-7F,7856823110.99452,14018664.579487037,36949042.004830755
8050-0A,41089286965.671234,15384179.619095445,33859374.61938018
8050-0APV,977840810.1945206,253981.8894204328,151715.77994363473
8050-0F,9489374332.454794,21300884.829669755,26853474.917382557
8052-7A,105779560742.5055,19551215094.076435,19452402835.43152
8052-7B,577611961.978022,2495618.3253721553,1708231.648975613
8052-7BPLUS,213532312.00772202,1346398.1685772864,673551.775509195
8052-7E,0.0,0.0,0.0
8054-3A,5992578514.928572,6003041.297337329,5700057.708680602
8054-3B,1503144178.739011,1318027.4273005605,1865960.905803461
8054-3BCH,38030815408.82967,121475274.76174302,150054945.08134258
8054-3BPLUS,29116913.115384616,0.0,731367.061175008
8054-3C,1658877275.8095238,2939731.861997432,1985279.8700071147
8054-3E,147606662.35714287,0.0,14077098.526398031
8054-3L,5484978073.068323,8784128.505043872,9099448.375971094
8054-3M,1561824613.2577639,2138037.044181345,1975727.8629325388
8055-1A,39651496169.479454,250370643.41345617,244816128.6066033
8055-1APV1,0.0,0.0,0.0
8055-1B,9117630754.29315,31651632.921074327,37150736.11657777
8055-1G,172563647.52328768,136986.30143479447,331751.2149114358
8055-1I-APV,2261444823.657534,3513539.755664892,4286400.296409161
8055-1S,2492379932.8630137,0.0,0.0
8055-1V,9186245155.153425,107555442.13518088,109281227.41451897
8057-8AM,6023591938.0794525,1556895994.5935347,1485329498.6015747
8057-8APV,2842422986.578082,19495595.681599602,16967820.251234062
8057-8CORPO,562034536463.2246,132437458079.8075,132294681834.19144
8057-8EJECU,785642168002.7917,37568355699.578674,37259184273.46962
8057-8G,62786.364383561646,0.0,1578.5705189497262
8057-8INVER,214207290802.67398,2576182562.604746,2523998045.5156655
8057-8P,391111951899.726,241126434076.23148,239836758031.7722
8057-8UNIVE,451368446879.87946,2391337389.022894,2009529837.152647
8058-6ALTO,1426100067.158904,327282.60859369556,537824.0585314223
8058-6AM,7466921666.756165,17993169.15670378,23348545.20606799
8058-6APV,2173328544.5397263,581635.0308470372,743715.1310775948
8058-6EJECU,7986598994.331507,9231487.208697118,12583153.79445157
8058-6G,4447209901.024657,1673188.2293555427,18044844.698176503
8058-6I,5552644323.619178,683918.1289295957,737627.4628938724
8058-6II,21986613.435616437,5731.500925790877,22382.739261116687
8058-6III,288265598.41643834,3237.9478951721917,0.0
8058-6INVER,3944763042.890411,4673778.57290939,4348033.632618104
8058-6UNIVE,4001422284.663014,10643194.902536716,9724828.28659389
8059-4APV,757660000.2575343,2041172.3797231724,938399.5841622016
8059-4CORPO,153465768652.7452,44180913141.76355,44426351326.78156
8059-4EJECU,84133558128.38356,8453520781.482421,8550740538.94599
8059-4INVER,59480071097.29315,1305944770.143489,1317864979.5509143
8059-4P,219983678748.80548,118974757252.37076,118993128855.44827
8059-4UNIVE,52055438851.40548,2005130980.8423297,1979144991.913471
8062-4A,4190453996.4666667,399119.2944451692,5604458.6626834525
8062-4B,559760030.9120879,79406.20497484415,608283.7798019991
8062-4BPLUS,36709236.43681318,75303.6991833385,309183.91816733975
8062-4C,1318543732.2666667,194963.026518408,1554578.9056424967
8062-4L,3383187904.89644,2676693.3640908734,2976954.142162032
8062-4M,1096715734.5857606,481428.24997920357,532117.4094988593
8063-2APV,5484698014.967123,85895786.28640382,88204903.06351773
8063-2CLASICA,87234897591.89316,8537863389.631717,8494874299.348547
8063-2D,4712086932.728767,8010434.959245776,5128497.675893432
8063-2G,2542653373.5671234,4434332.115052911,2652400.3285862403
8063-2INVER,86064349796.68494,8983551894.415888,8992358102.614492
8063-2LARGOPLAZO,885437765.8027397,4276848.91075401,4326788.5480218055
8064-0A,17931918.03287671,0.0,0.0
8064-0ALPAT,26073923555.50137,68586286.8751417,79446785.80711304
8064-0APV,9432624920.852055,1246251.4648301136,14053655.37147202
8064-0BCI,50749108573.29863,229999999.99913338,252837520.4862233
8064-0BPRIV,23930017640.254795,28472142.419848535,49531486.96727721
8064-0CLASI,245884756785.80823,375944693.4624836,550030413.4587731
8064-0FAMIL,711002124.1095891,5041766.015612994,20051854.37888877
8076-4AM,6501678500.594521,34380204.11872402,28293643.486610226
8076-4APV,5264871266.602739,1849870.3576970906,3550476.169201736
8076-4EJECU,17514909075.158905,16100259.485102678,14608099.419985427
8076-4G,1541307263.3972602,1564832.0603785228,6790307.078685871
8076-4I,54553916.89041096,6102.349954848193,0.0
8076-4III,11972907909.742466,2398675.6271075523,5824516.15072143
8076-4INVER,6330940606.5643835,7922077.815109954,6674928.535209526
8076-4UNIVE,8014800156.649315,20874835.12271496,17513131.64974898
8077-2AM,111012338275.49863,284586564.27384454,309764548.6731778
8077-2APV,3168461482.4328766,1906223.0556669566,1711457.6913255933
8077-2CORPO,1375084532.679452,0.0,7948280.244717061
8077-2EJECU,81517409498.8411,125009626.32062338,122913347.5568179
8077-2G,15411655333.328768,7167202.146806374,82037025.32591109
8077-2I,4329472771.2739725,14066808.684906092,14589079.3903248
8077-2II,1301609596.6438355,144280.92713471336,81297.79575688476
8077-2III,5569895284.29863,234306.22449396146,998523.5890760268
8077-2INVER,126255283661.09589,133992924.61223495,141711370.49878588
8077-2UNIVE,147140425700.93698,286900119.6625495,303117856.05082035
8078-0A,28463852053.333332,91847880.03295696,40668386.690423615
8078-0B,6598630246.288462,6298826.112234067,5732112.762761876
8078-0BCH,166422905903.3132,357230769.3167547,428598901.1820037
8078-0BPLUS,765346206.0302198,2630401.776882908,0.0
8078-0C,11192195770.5,34307896.69626078,3641671.013517056
8078-0E,258067263.16666666,0.0,23477445.664790493
8078-0L,26496347837.81677,65843023.27033852,72774698.11352797
8078-0M,11505307951.574533,20027229.783949405,18179669.72019251
8082-9AM,6841468211.391781,50238199.17387316,64595915.888351
8082-9APV,941257621.2410959,430744.615586472,896930.1831882524
8082-9EJECU,20087225079.232876,19354069.485109042,28911198.684325013
8082-9G,637559147.2383561,24165.219220197694,26922592.594029807
8082-9I,3669520440.810959,262035.8961352621,1757143.608667454
8082-9III,3780642431.90137,0.0,305559.9205047761
8082-9INVER,33446627948.054794,30435994.382667124,40009983.400134474
8082-9UNIVE,41378372334.20822,82010247.48932868,79209414.81173949
8088-8A,7800500473.55,3561612.5502026733,3519443.9744912167
8088-8B,999911702.1126374,651418.9625015897,1375056.699224346
8088-8C,1759672436.9666667,1105156.6739812314,1468384.1998619405
8088-8E,-0.08333333333333333,0.0,0.0
8088-8L,7170628288.323625,6924468.976270218,10848477.289235909
8088-8M,2050975809.6245954,2786482.9854719606,2901751.4357135748
8089-6A,49138761831.92329,101029239.30704458,99988798.08505762
8089-6B,15760633821.526028,9728584.57966513,18157882.87456519
8089-6C,52034481591.43014,62540677.23748086,104520053.44865772
8089-6G,8147964302.446575,7256528.871690202,17627360.912570924
8089-6LP180,75197296340.40274,127681553.80346377,196231135.7653599
8089-6LP3,12541758676.167124,14686949.266534902,21863660.957226846
8089-6LPI,6462964197.082191,35286865.13403473,40902090.705438964
8089-6O,66600363219.08767,166824506.3415544,110124257.45356838
8089-6PLAN1,1183978419.279452,367881.64791735116,1818321.3455007812
8089-6PLAN2,629726700.9835616,323298.4616244462,823590.4329971047
8089-6PLAN3,1803916638.5369864,2213930.6035860595,4497109.582099196
8089-6PLAN4,4982435249.821918,5547855.695497166,7655778.4424483925
8090-KALTO,2171898860.758904,7400428.073659261,4647077.643952106
8090-KAM,5184177709.221918,16384265.752618095,33535238.328536026
8090-KAPV,2600418396.821918,1223507.080132831,1409158.2509887922
8090-KEJECU,15374973869.016438,21177128.695331845,24081717.675253265
8090-KG,4218099801.5863013,13978729.441401139,22752291.94182057
8090-KI,12970067857.471233,6139014.678818997,3271021.5724781374
8090-KII,47353928.89589041,15150.421944439144,54958.54269853671
8090-KIII,459550639.9232877,0.0,194207.98089945316
8090-KINVER,10371184729.449314,9481451.865892837,9677114.18726542
8090-KUNIVE,9890448586.950686,22013966.584707517,28017062.724696882
8092-6APV,237086210.93150684,1073848.244153357,391560.99851125624
8092-6F1,26035533021.409092,105641067.44820862,104367778.85622837
8092-6F2,29229172520.68182,104188304.62903547,154154183.09686702
8092-6F3,15859761303.545454,79636620.98395716,133682597.17393117
8092-6F4,12104996740.954546,472647116.81867826,475845715.5379476
8092-6F5,10132900021.045454,82727821.02926093,65297253.08350938
8092-6M1,23029058227.4723,160849088.1086416,107401902.78590731
8092-6M2,29344720944.670555,255822330.33114535,187349973.55258602
8092-6M3,18042405949.38484,286328817.3873127,248948955.19366565
8092-6M4,15649198492.48105,691120938.2025198,702770787.3308115
8092-6M5,11079355274.635569,2023074626.3212552,2029901631.1501312
8097-7A,350480721.0,673552.999079274,804876.6316210278
8097-7B,2309424674.3232875,2865442.7742700656,3081158.6204248383
8097-7C,15594432134.460274,48745373.88492625,53559399.963824004
8097-7G,205077284.0109589,16584481.807604788,16565950.16538395
8097-7LP180,10111892762.934246,31847642.30538973,28534944.07142141
8097-7LP3,1683137584.6849315,3809479.1112003233,3488651.8436082904
8097-7LPI,425949783.8931507,6284922.577842759,6035399.860938925
8097-7O,16868014227.794521,51436762.36280239,52608616.33814751
8097-7PLAN1,67591657.1150685,69975.9055485661,80862.90718793575
8097-7PLAN2,70564049.75068493,79634.79672735475,69792.58553152284
8097-7PLAN3,348116831.38904107,420120.1962253038,562478.8347043878
8097-7PLAN4,1280598116.8931506,1362513.9584772082,1012478.4386445788
8098-5A,240496553.90136987,129428.00319607592,187151.8000017189
8098-5B,2503780222.4630136,1508602.707666971,1664245.2410067716
8098-5C,7512961233.810959,15509040.504810572,16248856.86467174
8098-5G,90776496.87397261,112947.14747538281,77010.37631515058
8098-5LP180,4863138971.432877,14762392.198859591,14210481.011514919
8098-5LP3,450518425.1260274,1115896.9946483036,1279528.9344099609
8098-5LPI,21461039.71780822,522451.04726854514,188492.4090764103
8098-5O,5792456655.476712,48074673.86780813,30024398.958211403
8098-5PLAN1,44464251.36712329,104095.26758473484,103570.93578431643
8098-5PLAN2,62736615.909589045,14146.470991088794,2636.7329628498633
8098-5PLAN3,171114002.67123288,381014.6411535602,439505.3818834606
8098-5PLAN4,585411232.0547945,1224022.4625344197,1080728.5012048257
8100-0CLASICA,161974856974.2767,20033028954.80572,20083583315.03945
8100-0INSTITUCIO,385650300721.9781,87705608168.97594,87823788713.87727
8100-0K,0.0,0.0,0.0
8100-0X,178368970268.66302,46645533671.41837,46965205599.59544
8104-3A,27913076731.31233,546051683.1175785,544946200.4817652
8104-3E,523805596.0657534,53614132.26743897,53298909.03468131
8104-3GLOBA,41300580.032876715,422571.3850335236,249356.3138997886
8104-3INVER,107163541.8630137,389092.188496617,377118.0374907918
8104-3PATRI,136986.16438356164,27397.24863940959,27397.208675832877
8105-1A,4984668405.164384,2931657.6663137134,4285504.27083591
8105-1APV,640844639.7205479,287196.7850067199,565488.1359171751
8105-1E,5266929077.109589,4323595.608741858,14503690.066535799
8105-1GLOBA,173227258.45753425,534507.0759220774,729629.5094723217
8105-1INVER,134888372.03013697,294855.308454115,377610.4621196957
8105-1PATRI,131216869.61917809,93150.68476677337,296867.7775893968
8105-1V,3532179481.2821918,6470601.071380541,7384148.628905777
8106-KAPV,444155806.2493151,66541.5646574451,627851.660698858
8106-KE,4858109649.978083,4154142.5543482364,8692503.227130333
8106-KGLOBA,46962028.320547946,210958.90397844187,150909.74488905832
8106-KINVER,391456766.0849315,1667971.1081793294,126556.55213650291
8106-KPATRI,33299828.553424656,68493.15105635545,66404.08853678033
8106-KV,20811330626.558903,33909445.95492399,38405912.92731317
8107-8AP,327123963836.61096,45944912479.366425,45969581439.952644
8107-8APV,601132243.8410959,473499.1000614855,1162577.723265734
8107-8CLASS,99032559089.41644,8852255437.116432,8836359426.61711
8107-8E,208850284108.74796,113471345809.67215,113440165867.2149
8107-8GAMMA,211628153.34246576,0.0,34.62261250153425
8108-6ALPAT,7984576420.764383,23695611.557898894,16727281.027491841
8108-6APV,4338092578.221918,1313540.7422872342,8210995.36356694
8108-6BCI,180003260183.98904,779934246.5731051,340261980.0344897
8108-6BPRIV,15110079360.953424,52895969.63896133,40465531.835325375
8108-6CLASI,104597996740.25479,113494397.18100177,181189869.8742994
8108-6FAMIL,6980074044.871233,10236623.519502975,12849237.027515102
8111-6A,25310280987.46575,1003774647.3188716,1001335830.631789
8111-6B,9598382387.452055,1435536240.6291692,1434043321.6982927
8111-6E,2727287784.789041,81432734.27742426,74396172.4948634
8111-6GLOBA,579657788.0383562,3153116.0248774732,1707521.1288393452
8111-6V,69094733472.19727,15908976339.656239,15706741210.423576
8113-2A,969392790.6739726,3301313.6559484345,2884550.3056145636
8113-2B,9980117882.013699,16807498.115557175,14572701.653624838
8113-2C,59853293360.66027,86277724.52174453,83832692.87026094
8113-2G,2131720750.421918,2258955.507573223,1667065.0459854316
8113-2LP180,48590177670.90959,139880417.8869584,119247753.38858375
8113-2LP3,8735999912.69589,18587383.442204922,15987590.765327064
8113-2LPI,2924085933.8246574,22311321.204853438,21047641.636353936
8113-2O,26102947945.830135,85228191.29628098,71721039.16505516
8113-2PLAN1,303249636.29041094,1163589.820927595,1108840.7449040345
8113-2PLAN2,356947762.6849315,192288.6769695517,189947.73228906692
8113-2PLAN3,1105040612.5123289,2239693.228275059,1842603.9987812757
8113-2PLAN4,6127067457.473972,9612380.097716177,6783251.536845696
8114-0APV,1142868832.2273972,3701127.13564156,2977424.762758867
8114-0CLASICA,970300730.0712329,3418875.524026104,1350268.8703892212
8114-0D,2577199272.6438355,5041252.55406496,4211128.446509348
8114-0G,1208949480.249315,1443136.0360811579,946713.194261452
8114-0INSTITUCIO,566806098.0876713,2220157.9890715275,1417219.1245637978
8114-0K,5419907275.882192,61250684.93142969,30328602.74065977
8114-0LARGOPLAZO,138991530.53150684,324473.70646630286,102284.81905885419
8114-0LIQUIDEZ,2941904783.6657534,21767548.966300044,19622811.985224012
8114-0PATRIMONIA,0.0,0.0,0.0
8115-9A,378476082636.3626,24460573313.373566,24684989827.023544
8115-9B,2752872154.1510987,6665957.037301654,5478562.438097065
8115-9BPLUS,272456860.0989011,2122343.1414349657,1809472.1618996288
8115-9E,31797110.81632653,0.0,5653223.608280305
8115-9L,360477490219.22345,22381418698.528187,22482200101.329693
8115-9M,566377507.1910112,10477614.18081937,6892070.517087809
8116-7A,1877414527.5479453,8989524.608422885,2220206.0404079603
8116-7APV,304364328.1150685,445813.8750675108,60511.15060295624
8116-7E,2733833347.120548,20685725.52176058,2668181.460119971
8116-7GLOBA,36611065.8739726,356164.38368167536,0.0
8116-7INVER,832533670.660274,3061109.996416877,99513.27582221768
8116-7PATRI,804352158.3835616,702442.805256902,245845.53720461042
8116-7PERSO,7089425361.684932,44456360.422818534,15871187.0644416
8117-5A,69576065358.07945,1422225753.977177,1424777981.1011155
8117-5B,32913449333.967125,1754594620.8740442,1791446918.6572263
8117-5E,8821029546.575342,259987516.80345196,264815909.14718345
8117-5V,359481411471.52875,153140242488.68378,151694140285.429
