field1,fundRUN,fundName,fundSeries,bloombergCode,APV,aafmCategory,svsCategory,svsCategoryId,currency,fixedRemuneration,variableRemuneration,investmentCommission,rescuedCommission,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
231703,8377-1,ACTIVO CONTROLADO,A,,NO,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,12438,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237011,8452-2,ACTIVO DEFENSIVO,A,VDINAEA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversion UF > 3 años y =<5",FM MIXTO,4,P,533725,0,0,0,1264.8455,1274.66,1281.2656,1276.4801,1281.447,1289.4367,1301.6204,1309.2218,1307.5044,1306.9134,1304.91,1298.9386,1311.8812,1324.3053,1329.2419,1331.3877,1340.0585,1345.2158,1350.1209,1362.2791,1370.2305,1364.3626,1352.1357,1371.1014,1381.1586,1394.7031,1397.4932,1407.5575,1407.9417,1407.2037,1409.3839,1412.839,1405.2964,1396.1954,1397.4207,1407.8059,1414.1508,1421.5205,1425.5229,1426.5501,1433.6908,1439.0489,1444.5246,1449.2738,1450.1768,1444.719,1448.5748,1453.9093,1461.4568,1464.0648,1478.6281,1489.5555,1509.3188,1527.7151,1553.636,1572.994,1575.6565,1531.5194,1493.4747,,,,,,,,,,,,,,
237076,9043-3,ACTIVO EQUILIBRADO,A,BCIN10A CI,NO,Balanceado Moderado,FM MIXTO,4,P,418990,0,0,0,1458.1406,1474.2698,1472.0468,1459.407,1462.0713,1456.5619,1514.5301,1513.418,1483.5611,1525.0409,1530.7433,1507.3723,1476.2349,1444.8341,1466.7641,1452.9076,1493.5151,1456.5625,1483.0159,1516.9265,1490.8854,1478.0522,1485.2794,1483.0629,1478.4101,1499.7755,1547.0933,1552.9214,1563.1844,1550.319,1571.4658,1554.0852,1574.049,1585.8966,1574.1032,1581.0812,1613.5845,1574.5426,1572.1947,1584.8532,1579.9779,1580.3611,1594.9175,1612.9394,1599.7385,1568.151,1553.2568,1529.5482,1560.875,1561.1969,1589.5157,1606.1372,1592.2178,1614.7446,1639.9948,1642.002,1667.3622,1658.911,1702.0306,1689.7889,1733.277,,,,,,,,,,,,
237084,9067-0,ACTIVO MODERADO,A,BCHMXCA CI,NO,Balanceado Moderado,FM MIXTO,4,P,374140,0,0,0,1072.1197,1071.3899,1076.1726,1063.9274,1063.5409,1066.3869,1095.898,1107.1583,1103.2524,1108.0384,1110.5919,1100.8063,1097.6006,1086.3762,1098.162,1091.0945,1116.3775,1100.1117,1115.8981,1139.2845,1128.3838,1122.0354,1120.2073,1127.7408,1125.7147,1139.7308,1162.6483,1167.1052,1173.0942,1167.9179,1176.2153,1166.891,1183.343,1187.3969,1178.0163,1189.5784,1207.0129,1191.9658,1191.841,1197.583,1196.5201,1197.963,1206.6398,1214.3632,1209.5076,1192.512,1187.1151,1177.8653,1195.1227,1196.2681,1213.5342,1226.8365,1221.9274,1239.4127,1259.3004,1263.9025,1279.7697,1269.7743,1296.5471,1288.4238,1322.823,,,,,,,,,,,,
236999,8448-4,ACTIVO POTENCIADO,A,VIDINAA CI,NO,Balanceado Agresivo,FM MIXTO,4,P,61534,0,0,0,1104.521,1120.641,1109.089,1123.3847,1119.7164,1115.7174,1135.3575,1101.3483,1072.7929,1128.9877,1142.9242,1124.5864,1064.2192,1030.0493,1063.4891,1055.9815,1084.282,1045.6237,1073.4256,1101.7859,1071.7605,1063.1975,1084.7927,1082.3713,1078.5375,1093.7264,1138.2764,1149.2531,1162.5784,1143.6715,1165.9232,1142.1586,1167.7148,1177.7936,1168.366,1167.6392,1199.806,1156.8557,1152.9956,1166.1747,1160.6513,1160.3574,1173.4495,1192.3276,1177.6901,1148.1237,1131.6821,1106.4718,1135.3403,1134.729,1159.4017,1179.121,1155.155,1171.483,1195.0607,1188.7987,1217.8984,1234.6814,1317.4454,1288.0688,1334.3426,,,,,,,,,,,,
20679,9964-3,AGRESIVO,A,,NO,S/C Fondos creados recientemente que aún no han sido clasificados,FM DE LIBRE INVERSION,6,P,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.6036
238741,8035-7,AHORRO,A,BCHAHRO CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversión en UF < 3 años",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,4395320,0,0,17876,12821.5973,12928.9783,13022.4443,12954.5494,13031.9743,13099.4836,13201.8655,13267.8691,13281.1567,13255.0078,13260.4183,13224.8363,13368.8552,13466.0471,13494.0883,13508.1384,13614.4055,13639.5635,13660.7754,13743.1199,13793.4098,13719.7782,13620.8612,13813.5974,13880.5046,13997.85,14022.146,14077.6436,14066.2874,14063.6594,14016.0059,14079.4457,14010.6858,13923.1697,13956.1922,14050.957,14109.886,14184.6794,14203.6589,14192.7565,14283.3927,14336.7307,14379.6588,14403.7055,14417.8915,14369.1523,14381.4924,14386.3383,14448.203,14444.6496,14517.1605,14618.6046,14750.2815,14842.8634,15010.6937,15125.6551,15166.4575,14897.1765,14790.1122,14979.3519,15028.1939,,,,,,,,,,,,
79,8755-6,AHORRO A PLAZO,A,LARVIAP CI,NO,Fondos de Deuda < 365 Dias Nacional en pesos,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2,P,1910108,0,0,0,2217.7399,2220.802,2225.3166,2227.2593,2233.7364,2240.3376,2244.6219,2246.3085,2250.1787,2247.4341,2249.9666,2254.1377,2263.3134,2271.7058,2281.5938,2289.7467,2296.1065,2302.1333,2308.7317,2316.7286,2321.961,2326.3243,2327.7585,2336.0372,2346.6139,2351.4103,2356.987,2364.4268,2369.2139,2372.5546,2377.5338,2381.5956,2384.0586,2386.2831,2388.7177,2392.893,2399.6529,2403.723,2406.4619,2411.9122,2414.8803,2418.7906,2423.8016,2427.2838,2429.1562,2430.4412,2434.4886,2439.767,2444.7191,2448.6411,2456.475,2463.738,2474.0863,2485.7209,2496.6635,2502.3706,2507.81,2503.5407,2499.3668,2507.2244,2513.6214,2510.9737,2519.5881,2533.6704,2543.1274,2543.5171,2541.4177,2542.8866,2540.7888,2545.4345,2552.1815,2550.5601,2557.8417
237490,8726-2,AHORRO ACTIVO,A,LVAHACA CI,NO,S/C Fondos creados recientemente que aún no han sido clasificados,FM DE LIBRE INVERSION,6,P,210450,0,0,0,1176.8047,1181.0732,1181.6739,1177.1396,1181.2564,1185.5147,1204.6046,1200.6418,1191.3295,1201.7424,1209.7536,1200.2118,1190.2457,1183.6994,1189.2392,1185.6597,1203.3524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8263-5,AHORRO CAPITAL,A,LARVACA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversión en UF < 3 años",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,4678880,0,0,0,1621.7255,1637.5156,1649.3344,1638.61,1646.648,1655.853,1671.7668,1681.8263,1681.0373,1679.6555,1678.2598,1673.6137,1689.003,1702.4517,1706.9245,1710.074,1721.7906,1727.4754,1734.4612,1748.0646,1758.7887,1750.2332,1732.8411,1758.514,1769.6729,1781.7718,1784.4676,1791.9116,1790.6066,1790.645,1787.5858,1793.1628,1785.4089,1774.613,1777.7151,1787.7298,1793.5996,1801.5414,1804.2094,1803.7425,1814.3243,1821.3375,1827.8444,1832.6334,1833.7353,1826.0241,1829.0489,1832.0973,1843.5381,1844.0481,1857.6459,1871.3567,1890.2102,1906.4292,1925.447,1940.4318,1946.1203,1911.2539,1885.8306,1914.7741,1932.0219,1907.1031,1876.6049,1920.4623,1940.3265,1936.4452,1934.3665,1957.3189,1940.423,1958.0422,1979.4793,1981.3469,2008.1628
