field1,fundRUN,fundName,fundSeries,bloombergCode,APV,aafmCategory,svsCategory,svsCategoryId,currency,fixedRemuneration,variableRemuneration,investmentCommission,rescuedCommission,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
238145,8260-0,BONOS LATINOAMERICANOS,A,CDSMDOA CI,NO,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,D,130.5,0,0,0,1.9997,2.01,1.9771,2.0441,2.0686,2.0149,1.9849,1.9296,1.8045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9733-0,BONOS UF PLUS III,A,,NO,S/C Fondos creados recientemente que aún no han sido clasificados,FM ESTRUCTURADO,7,P,115816,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.2626,1017.2788,1023.1794,1031.7313,1038.326,1043.4351,1034.4737,1028.0029,1038.4912,1046.7151,1042.3927,1044.9845,1052.5119,1060.9202,1055.4757,1056.3744,1065.2454,1065.54,1073.6896,1082.1338,1081.2279,1084.8933
238349,8612-6,BRASIL,A,CDSBRAA CI,NO,Accionario Brasil,FM MIXTO,4,D,11.3,0,0,0,1.4782,1.5051,1.2977,1.4583,1.2952,1.2946,1.1361,0.9818,0.8519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237275,8799-8,BRASIL ACTIVO,A,BRAACTA CI,NO,Accionario Brasil,FM DE LIBRE INVERSION,6,P,160996,0,0,0,556.5194,551.1713,504.8689,550.4645,504.5065,537.7196,490.7914,441.1181,391.1413,389.34,389.9577,369.9821,344.2957,355.6185,430.2489,472.2886,433.1287,503.4962,552.3481,571.8114,570.4351,619.4378,560.514,561.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237718,8791-2,BRAZIL EQUITY,A,BACRECA CI,NO,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,3438.0713,0,0,0,441.7459,430.053,385.6873,408.0048,392.7966,412.4481,377.8781,337.8075,298.4206,316.7756,316.1509,306.8782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237045,8830-7,BRIC ACCIONARIO,A,BRICACA CI,NO,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,73443,0,0,0,837.771,842.8645,830.6694,891.2419,870.5547,861.9333,837.3892,772.5247,753.9517,790.2245,798.8343,773.5723,694.5531,667.9166,734.1554,729.9305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,8204-K,BTG ACCIONES CHILENAS,A,CELFACA CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,661391,0,0,0,2694.8496,2854.6329,2809.7165,2877.382,2849.5217,2701.9257,2664.905,2644.9559,2543.8604,2591.7536,2454.9647,2462.3697,2475.5105,2495.1376,2615.8265,2642.3719,2574.6802,2590.2465,2731.4434,2747.9683,2667.5299,2840.2292,2758.6858,2710.48,2752.3258,2897.7032,3214.7789,3254.8631,3259.7509,3182.3043,3425.3707,3524.4854,3587.6495,3827.4404,3371.3619,3802.845,4041.2918,3856.6309,3793.3915,3875.6478,3628.6005,3482.6824,3551.595,3426.5481,3482.1295,3365.036,3392.4142,3386.9754,3559.3297,3460.5364,3397.4608,3344.8292,3161.5565,3234.6949,3166.5972,3006.7924,3184.5467,2918.2573,2675.628,2772.2158,2728.6165,2444.254,1990.6942,2275.6097,2038.4026,2269.3063,2311.4688,2187.9469,2053.474,1944.8186,2215.1789,2258.1906,2302.7403
237033,9000-K,BTG ANDINO,A,CELANDA CI,NO,Accionario Países MILA,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,67398,0,0,0,1046.8588,1040.034,1007.2166,1063.6193,1011.2527,1010.4661,982.9648,917.2972,893.6553,929.1664,897.9422,921.7198,917.5683,901.9073,951.0243,946.3609,919.6974,927.4808,930.0876,971.6004,935.6709,949.1632,929.8165,945.7808,946.1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,9449-8,BTG INVESTMENT GRADE,A,RLAINGA CI,NO,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",FM DE LIBRE INVERSION,6,D,15.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.5074,1010.6253,1014.3488,1016.0152,1016.7784,1018.0233,1019.8454,1004.8605,999.5385,992.2935,973.3922,976.8892,999.0087,992.3155,995.409,989.7518,980.9615,991.3675,1019.1631,1030.7812,1046.3174,1060.3739,1066.1465,1083.845,1093.7752,1101.2736,1104.2488,1116.4768,1106.5619,1118.7952,1137.4356,1136.3091,989.2984,1035.1623,1083.3222,1117.2009,1136.1676,1152.8938,1157.482,1171.0958,1200.4653,1226.3559,1224.3489
256,8373-9,BTG PACTUAL ACCIONES ASIA EMERGENTE,A,CELAASA CI,NO,Accionario Asia Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,137682,0,0,0,1121.8292,1111.5029,1116.838,1144.3238,1132.0422,1119.1734,1099.1828,1029.4404,1004.9313,1071.8057,1074.6205,1059.507,965.3976,932.3293,981.7123,956.7677,991.066,966.8024,1015.8444,1069.8959,1052.9371,1022.728,1012.9757,982.8155,1013.6771,1047.717,1109.8079,1141.3555,1194.4831,1202.4475,1236.9545,1209.3576,1211.9636,1272.2731,1304.2978,1264.2068,1319.5804,1239.8237,1230.1877,1236.8693,1281.0951,1248.8375,1230.0618,1273.8356,1208.9472,1116.1359,1130.3684,1123.7135,1142.7289,1170.4455,1239.7931,1271.7439,1209.4935,1231.1733,1251.8309,1225.2091,1252.8838,1310.7172,1461.8534,1424.6676,1454.5118,1426.4232,1277.9571,1355.4099,1301.9201,1431.2855,1433.9868,1536.276,1534.871,1556.3236,1651.2202,1623.6475,1767.9244
236973,8206-6,BTG PACTUAL ACCIONES LATINOAMERICANAS,A,CELFAEA CI,NO,Accionario America Latina,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,555626,0,0,46332,2117.2187,2162.6107,2042.1869,2144.6636,2047.8252,2129.5541,2096.0697,1972.1723,1877.5047,1955.9858,1949.3111,1872.7319,1857.4953,1845.4175,2021.2941,2069.3134,2022.4873,2133.9459,2183.131,2220.4026,2134.8875,2218.839,2011.6162,2008.9269,2055.418,2126.4822,2242.6125,2254.814,2220.104,2221.2466,2338.464,2349.7701,2419.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,8205-8,BTG PACTUAL ACCIONES USA,A,CELFINA CI,NO,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,860027,0,0,0,1378.4209,1419.7192,1418.256,1386.3315,1412.6734,1430.2985,1524.6234,1482.836,1421.8967,1523.718,1572.3111,1547.8804,1418.7269,1391.2045,1420.2777,1398.694,1478.9777,1404.3656,1453.4868,1496.8079,1446.1329,1393.0019,1497.1335,1503.7947,1471.4089,1529.8815,1556.6266,1570.8291,1593.1579,1585.4299,1578.8642,1504.6451,1571.3285,1591.4676,1657.5195,1596.8179,1629.0337,1533.2359,1517.1626,1544.6053,1623.7237,1669.4356,1686.1456,1845.5149,1790.8115,1749.6519,1709.984,1597.8603,1630.5257,1663.8674,1748.413,1814.1547,1784.7308,1804.9178,1895.6289,1906.3518,1951.107,2011.0823,2283.8554,2147.3439,2285.3419,2141.5819,1953.8503,2139.8397,2146.4036,2212.4989,2153.7221,2346.516,2293.3076,2195.6756,2418.1535,2314.3076,2371.4122
264,8575-8,BTG PACTUAL BRASIL,A,CRETOTA CI,NO,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,69468,0,0,0,1304.9459,1310.5086,1206.6492,1307.0928,1230.7653,1319.7663,1277.8367,1172.8475,1069.3052,1081.5204,1089.6333,1044.034,1019.7543,1008.785,1195.0626,1252.5065,1209.3863,1334.4428,1394.8082,1415.1462,1368.7827,1429.3888,1290.5787,1295.6499,1357.6684,1411.4682,1437.6282,1434.3065,1381.1412,1348.7134,1454.99,1479.1229,1559.1868,1471.7966,1457.9757,1431.6167,1590.1303,1530.215,1553.3898,1479.4933,1257.1116,1192.3951,1295.8144,1210.8558,1239.4417,1541.0164,1460.9176,1509.5505,1636.8961,1550.6942,1536.8097,1567.6632,1664.8793,1686.7865,1802.2401,1717.6527,1758.904,1890.7565,1959.1252,2014.6818,1998.6214,1797.7986,1112.5642,1182.5903,1261.0781,1362.7407,1421.3226,1347.3791,1268.9782,1203.9711,1432.7814,1478.2906,1416.8716
237015,8898-6,BTG PACTUAL CHILE ACCION,A,CCHIACA CI,NO,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,495652,0,0,0,893.1595,954.1982,946.1233,969.4968,960.2017,911.5416,899.6859,892.1609,858.0264,873.0908,825.4548,825.9503,832.7917,838.3977,879.3052,888.0378,868.268,873.932,927.0544,934.7523,905.7336,957.073,928.1099,908.8483,925.0572,980.1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,9006-9,BTG PACTUAL GESTION ACTIVA,A,CGEACTA CI,NO,Balanceado Moderado,FM DE LIBRE INVERSION,6,P,397914,0,0,0,1138.1211,1157.802,1161.9785,1160.7579,1165.5589,1160.2427,1178.2275,1173.6416,1150.9298,1175.3445,1181.2027,1169.2208,1139.7527,1133.0405,1142.3357,1138.3681,1171.4496,1140.5693,1164.5457,1193.9829,1175.2875,1176.2345,1183.2812,1191.6889,1185.3841,1209.097,1244.7442,1260.2174,1273.5946,1264.6628,1273.8646,1263.4256,1278.9043,1296.7189,1287.2644,1293.4085,1307.9373,1281.1388,1275.6311,1289.456,1289.4447,1284.908,1290.6539,1305.6752,1297.8245,1278.0941,1275.3969,1275.1356,1301.0367,1306.9088,1337.4571,1350.4372,1356.4704,1385.8451,1422.5767,1425.7416,1447.6837,1415.2913,1426.8936,1430.0851,1456.1036,1417.7265,1293.6232,1373.7766,1381.7054,1430.8571,1421.9599,1459.9021,1428.6534,1412.1603,1487.9998,1474.34,1516.0453
307,9005-0,BTG PACTUAL GLOBAL DESARROLLADO,A,CGLDESA CI,NO,Accionario Desarrollado,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,793801,0,0,238,1339.5196,1378.743,1385.6105,1369.9324,1396.0344,1397.0458,1475.9154,1428.0205,1356.7897,1453.1436,1505.7739,1471.5064,1348.3529,1312.9641,1330.0754,1313.7104,1386.6857,1294.1874,1345.8138,1393.3041,1345.6853,1308.5171,1378.5991,1389.9203,1359.6013,1404.8333,1441.4659,1472.6866,1510.8183,1492.2062,1488.7382,1430.3222,1477.351,1511.2387,1548.5708,1495.4632,1521.0915,1437.9614,1417.0231,1451.5038,1499.728,1522.2265,1528.3473,1645.0037,1589.9036,1517.0454,1480.5035,1404.9336,1433.1041,1459.2052,1522.3878,1574.0885,1558.4649,1561.8917,1628.9603,1633.6463,1665.1031,1712.6691,1936.703,1830.1358,1944.9995,1834.6979,1660.9002,1790.6862,1781.9494,1858.7892,1814.5712,1970.5243,1937.0272,1849.6581,2018.7735,1930.3578,1984.2229
323,9024-7,BTG PACTUAL GLOBAL EMERGENTE,A,BTGPGEM CI,NO,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,48515,0,0,0,1164.1963,1163.8826,1159.5617,1202.8071,1174.9692,1169.1008,1144.6108,1074.0403,1047.4818,1101.6536,1103.0796,1072.7338,1004.875,977.1193,1027.8189,1011.0393,1037.5218,1017.1005,1052.5866,1100.772,1085.401,1060.2317,1043.5639,1019.2069,1041.2958,1066.5745,1130.965,1154.1374,1190.3497,1185.1733,1216.2628,1201.35,1210.8707,1244.2908,1264.4685,1234.3864,1290.2818,1233.2895,1214.0046,1217.0982,1225.6331,1198.1993,1205.3863,1234.5387,1188.72,1131.4348,1135.4494,1128.6049,1157.9247,1168.5835,1221.0275,1249.9666,1202.5137,1227.7033,1259.6204,1221.7629,1253.7687,1309.9822,1445.9828,1421.1352,1456.6429,1404.1514,1195.3768,1277.1899,1229.6283,1343.6842,1348.6334,1430.2914,1406.9957,1417.1155,1532.0507,1491.0158,1617.8899
208,8202-3,BTG PACTUAL MONEY MARKET,A,CMONMAR CI,NO,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1,P,2089674,0,0,0,1617.837,1620.9758,1624.5327,1628.011,1631.6382,1635.1171,1638.7882,1642.485,1646.0426,1649.7669,1653.4579,1657.4429,1661.8491,1666.5789,1671.5178,1676.2379,1680.8675,1685.37,1690.0151,1694.4664,1698.5518,1702.8293,1706.8764,1711.2691,1715.8445,1719.7283,1723.5341,1727.578,1731.1958,1734.3449,1737.4252,1740.6106,1743.42,1746.199,1748.9766,1751.8994,1755.1887,1758.1715,1761.2044,1764.1017,1767.0812,1769.9648,1772.9206,1776.0252,1778.8348,1781.7698,1784.875,1788.3288,1791.917,1795.2573,1798.9313,1802.7725,1806.5499,1811.1139,1814.3993,1817.3541,1820.2401,1822.7867,1824.7836,1826.8503,1828.689,1830.7563,1832.9072,1837.0808,1837.876,1838.4577,1838.744,1839.3699,1839.9648,1840.2462,1840.4204,1840.9021,1841.3391
270,8618-5,BTG PACTUAL MONEY MARKET DOLAR,A,CCMMDOA CI,NO,"Fondos de Deuda < 90 Dias Internacional, Dolar",FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1,D,155.29,0,0,0,1.8932,1.8934,1.8935,1.8938,1.894,1.8942,1.8944,1.8945,1.8946,1.8946,1.8946,1.8947,1.8947,1.895,1.8955,1.8959,1.8964,1.897,1.8975,1.898,1.8986,1.8993,1.9,1.901,1.9019,1.9026,1.9036,1.9045,1.9058,1.9071,1.9088,1.9106,1.9122,1.9142,1.9159,1.9178,1.9199,1.9218,1.9239,1.9264,1.9288,1.9314,1.9344,1.9371,1.9399,1.9432,1.9465,1.9499,1.9532,1.9563,1.9598,1.9632,1.9667,1.9701,1.9734,1.9766,1.9798,1.9829,1.986,1.9891,1.9918,1.994,1.9962,1.9984,2.0003,2.0009,2.0012,2.0013,2.0014,2.0015,2.0017,2.0018,2.0019
287,8932-K,BTG PACTUAL RENTA A PLAZO,A,CRTAPLA CI,NO,Fondos de Deuda < 365 Dias Nacional en pesos,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2,P,204989,0,0,0,1154.502,1159.4789,1164.9213,1164.0097,1170.1079,1175.1553,1182.0296,1184.0116,1187.2522,1178.2109,1175.7436,1171.842,1175.8574,1182.8927,1205.5003,1205.4867,1212.8686,1216.4542,1220.2404,1225.2657,1228.8473,1230.6018,1230.0601,1236.9852,1241.9682,1248.7029,1252.3267,1256.9418,1259.2578,1261.6432,1264.2202,1267.1405,1268.2614,1268.7708,1272.0563,1275.6878,1279.837,1283.9755,1285.9012,1288.7387,1292.2498,1295.5594,1298.4559,1301.2041,1303.6845,1302.255,1303.963,1305.1959,1309.1421,1311.218,1315.6103,1320.6076,1326.0088,1333.4595,1340.172,1343.7819,1347.7278,1344.3569,1340.3128,1349.6013,1353.9234,1353.6024,1356.989,1364.0518,1369.5554,1371.2531,1372.3584,1375.6925,1374.909,1378.0589,1382.6797,1382.2697,1388.4105
292,8950-8,BTG PACTUAL RENTA ACTIVA,A,CRTAACA CI,NO,Fondos de Deuda > 365 Dias Orig. Flex,FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,4131357,0,0,0,1139.0108,1149.353,1157.2074,1152.1938,1158.0787,1164.3995,1177.5386,1182.3794,1182.6212,1176.8386,1172.8555,1159.1338,1170.3152,1182.2684,1193.0417,1196.3369,1205.4962,1213.0028,1221.2565,1235.3985,1244.5743,1242.0662,1229.052,1246.8311,1254.5324,1263.3289,1268.0882,1276.1971,1274.3122,1275.6247,1279.5151,1282.0175,1279.4808,1277.8378,1280.2544,1287.1916,1293.087,1298.7664,1300.7773,1304.7984,1309.909,1313.4107,1317.8537,1322.2285,1324.1963,1320.5811,1323.8997,1326.4598,1332.8583,1336.0046,1350.4942,1360.8453,1376.9273,1395.7249,1418.3839,1432.9446,1433.9645,1404.1391,1345.1209,1342.0768,1347.1469,1315.719,1229.179,1241.8267,1219.3142,1232.4326,1248.0797,1263.0751,1245.2917,1264.8796,1284.829,1302.2126,1323.0999
213,8203-1,BTG PACTUAL RENTA CHILENA,A,CELFRCA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversion UF > 3 años y =<5",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,1741292,0,0,0,1869.9112,1889.2044,1902.229,1890.8402,1901.1467,1909.9699,1934.4824,1945.6575,1944.3744,1937.5428,1930.1597,1903.8644,1918.9956,1939.2082,1956.4552,1963.4444,1981.8563,1995.507,2010.2808,2042.9489,2066.8279,2058.5885,2029.919,2068.5299,2084.217,2105.8831,2117.0907,2133.0804,2129.4626,2129.8028,2127.1937,2132.2001,2125.6343,2113.7662,2116.1916,2130.3372,2142.3363,2153.3094,2158.8873,2167.1602,2178.1283,2185.002,2194.9491,2204.6195,2206.7539,2200.3605,2206.7702,2216.5215,2229.1167,2235.0806,2263.3578,2280.2728,2311.7794,2345.7698,2387.9652,2417.9051,2417.4225,2359.2542,2287.9365,2311.2843,2318.0474,2268.9817,2196.7518,2223.6265,2243.2456,2245.4025,2258.8077,2307.7369,2279.5221,2309.2718,2338.2403,2365.9555,2411.9445
244,8207-4,BTG PACTUAL RENTA LATINOAMERICANA DOLAR,A,CELFREA CI,NO,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,D,163.6,0,0,0,2.229,2.2485,2.2409,2.3092,2.3315,2.3045,2.2522,2.139,1.9558,2.0817,2.0721,1.918,1.8692,1.8865,1.9729,2.0147,2.0122,2.0427,2.0767,2.133,2.1293,2.1444,2.0968,2.1307,2.1635,2.2003,2.2222,2.2397,2.2379,2.2399,2.2767,2.3388,2.3557,2.3805,2.3817,2.3842,2.4001,2.3838,2.3916,2.3803,2.3286,2.3148,2.3738,2.3337,2.3469,2.3518,2.3187,2.3095,2.3892,2.4277,2.4583,2.4805,2.4868,2.554,2.5651,2.4325,2.4472,2.4693,2.4517,2.487,2.529,2.4666,1.8244,1.8726,1.9674,2.0837,2.141,2.1928,2.1729,2.1896,2.2991,2.3848,2.3673
274,8897-8,BTG PACTUAL RENTA LOCAL,A,CRTALOA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversión en UF < 3 años",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,454113,0,0,0,1183.5775,1193.0395,1200.8062,1195.9738,1202.8608,1209.859,1221.2269,1225.653,1225.0608,1217.3977,1209.4282,1192.9025,1203.9248,1213.738,1230.6297,1232.9934,1241.1319,1246.4065,1251.9972,1263.3345,1271.0646,1266.9792,1257.9992,1275.1457,1280.4519,1291.6347,1295.8833,1302.849,1301.1734,1301.3882,1302.3095,1306.5543,1302.2709,1299.2042,1301.9045,1309.7418,1316.9911,1323.1722,1325.9121,1329.3349,1335.3586,1339.2375,1343.5004,1346.997,1349.064,1344.2267,1345.6194,1346.8101,1352.4675,1353.6654,1363.1382,1372.8743,1386.7471,1399.5457,1414.9211,1425.2213,1428.9385,1405.7674,1386.0273,1398.0925,1408.5667,1391.5935,1371.904,1392.9335,1409.9387,1408.2706,1408.382,1428.8709,1416.2864,1429.3543,1446.688,1448.6098,1467.1575
249,8358-5,BTG PACTUAL RENTA NOMINAL,A,CELRENA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3,P,336570,0,0,0,1642.3362,1646.3839,1650.8472,1653.4462,1658.2259,1666.5543,1677.6909,1671.9188,1674.0795,1657.1441,1648.0047,1630.0435,1644.1973,1656.2527,1693.1967,1698.2213,1706.3163,1717.06,1724.4922,1739.7376,1747.1408,1748.8757,1736.6759,1754.5483,1763.6527,1772.4273,1779.7123,1793.6925,1793.5451,1797.7971,1804.676,1806.4648,1807.045,1808.4732,1811.6277,1818.8266,1828.3992,1833.8095,1838.1065,1846.7603,1850.2821,1853.9002,1858.8113,1864.5593,1865.6794,1866.2496,1872.88,1879.4347,1886.0364,1890.2353,1903.0707,1913.572,1933.9446,1959.8067,1986.2493,2000.2026,2001.8721,1977.2868,1940.3844,1960.6627,1961.5312,1937.9954,1898.5505,1932.728,1935.4328,1945.8849,1953.3542,1968.2591,1954.9939,1965.4035,1975.0527,1981.2182,2001.7144
238647,8395-K,BURSÁTIL 90,A,ZUBU90A CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,225824,0,0,0,1171.5761,1208.2545,1204.3458,1229.8531,1210.008,1165.5643,1156.3461,1144.6544,1114.2697,1140.5758,1085.9414,1086.2706,1090.2381,1108.1004,1156.1577,1167.6745,1140.2177,1144.5758,1176.8684,1172.2856,1153.6501,1226.6161,1209.2384,1182.2105,1186.1362,1230.9773,1356.9556,1351.8865,1347.8819,1307.2683,1383.7648,1401.7387,1430.1577,1499.372,1333.1457,1467.0896,1543.562,1465.0294,1442.4835,1482.9217,1403.9859,1355.6675,1379.5997,1342.4861,1350.2422,1288.5928,1284.1552,1281.5531,1330.9456,1294.3554,1273.9994,1241.1417,1194.6185,1211.7062,1185.4607,1132.9826,1193.0832,1113.3156,1060.9253,1099.5534,1065.2773,959.9387,806.4272,912.5392,817.3651,884.4501,894.6755,,,,,,
24,8931-1,CAPITAL EFECTIVO,A,CAPIEFE CI,NO,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1,P,6832075,0,0,0,,,,,,,,1153.3526,1156.3222,1159.4154,1162.4005,1165.6706,1169.1193,1172.4124,1175.9419,1179.3686,1182.8411,1186.165,1189.5613,1192.8976,1196.1345,1199.4828,1202.7387,1206.1179,1209.4795,1212.431,1215.5978,1218.5647,1221.159,1223.5645,1226.0267,1228.4488,1230.7908,1233.2194,1235.5748,1238.0109,1240.4574,1242.6703,1245.1233,1247.4152,1249.7378,1251.9972,1254.3398,1256.5673,1258.7209,1260.9385,1262.9889,1265.0934,1267.2079,1269.1197,1271.2424,1273.2946,1275.2773,1277.2515,1278.9558,1280.4361,1281.976,1283.3206,1284.6236,1285.9319,1287.1223,1288.0243,1289.2748,1290.8611,1291.0589,1291.1937,1291.3324,1291.4711,1291.6012,1291.6759,1291.7516,1291.8277,1291.9074
3,9022-0,CAPITAL EMPRESARIAL,A,,NO,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1,P,13219583,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169.998,1172.3456,1174.7777,1177.211,1179.578,1182.0286,1184.4041,1186.8634,1189.3314,1191.567,1194.0447,1196.4479,1198.8334,1201.1557,1203.2355,1205.119,1207.1576,1208.8243,1210.3888,1211.8905,1213.288,1214.3611,1215.4969,1217.5352,1217.7391,1217.8855,1218.0768,1218.1977,1218.319,1218.4479,1218.5247,1218.5993,1218.6762
6,8026-8,CAPITAL FINANCIERO,A,CICFINA CI,NO,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1,P,1567038,0,0,0,18844.2233,18888.1723,18937.0781,18984.5005,19033.8203,19081.6863,19131.2499,19181.3676,19231.3328,19283.2598,19333.6301,19387.705,19444.3798,19497.4512,19554.7392,19609.325,19663.8797,19716.8072,19771.1014,19824.4337,19876.1937,19929.8632,19981.9497,20035.9478,20093.5523,20147.1637,20202.3219,20253.7744,20298.3142,20339.1522,20379.7261,20419.9634,20459.0725,20499.3453,20538.4915,20579.0227,20619.6501,20656.3796,20695.4291,20731.4357,20767.9727,20803.0889,20837.7185,20870.3598,20901.8342,20934.5748,20964.4714,20995.1427,21025.8979,21053.7103,21084.5662,21114.3653,21145.3658,21175.9091,21203.1503,21227.9232,21256.057,21275.0007,21292.4008,21310.4257,21328.385,21341.7498,21357.7859,21384.5142,21387.9365,21390.1792,21392.4954,21394.8012,21397.0162,21398.3744,21399.6179,21400.84,21402.1012
18,8038-1,CAPITALES ACC CHI,A,TANCAPI CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,156957.2703,0,0,0,10932.9473,11309.6164,11142.2375,11334.6743,11184.8112,10728.169,10607.078,10471.37,10097.2197,10322.5757,9782.4293,9761.3587,9764.6509,9860.0612,10240.059,10300.9333,10008.398,10043.051,10285.6012,10176.361,9868.843,10442.4808,10142.0261,9970.5404,10009.2721,10368.7941,11319.5637,11226.8599,11150.9644,10831.6971,11630.7151,11815.0221,12161.1008,12750.0961,11248.6518,12437.9723,13083.9656,12412.5622,12154.9801,12518.9825,11829.6557,11448.8732,11607.2891,11271.5361,11340.4583,10836.3446,10760.6259,10636.9898,11143.6983,10767.4485,10590.92,10303.5393,9714.5619,9891.8362,9660.8124,9338.026,9798.9592,9115.9286,8655.5468,8948.618,8680.4701,7837.9858,6621.0493,7436.0304,6759.6881,7249.9647,7352.0802,6909.3761,6679.9585,6443.1287,7184.3255,7416.883,7535.7806
238724,8001-2,CAPITALISA-ACC,A,BCHCAPT CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,280622,0,0,0,343.0493,355.6079,348.727,353.2413,342.4117,328.8393,327.6327,319.8185,308.0237,314.36,295.848,292.6856,292.1496,295.1397,306.6283,306.8813,296.7068,297.8629,305.5999,304.0279,294.8735,310.0029,300.7227,296.9227,297.3451,308.2323,340.0334,338.1837,334.8396,324.7523,350.9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
