fundName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
	EA CONSERVADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.3849779769645154,0.04316961324022661,-0.034499802815962544,0.042991189453302825,0.13270733795773837,0.29752960240219894,0.08261259620182715,0.21070472669288387,0.03049375386312292,0.005076332001446193,-0.09636143829799382,0.11702700909542374,-0.022149552174292153,0.041152281827238735,-0.019502194985118182,0.045249566904979055,0.012876219264027489,-0.025557325006433262,0.03523615233316102,-0.023492422279765113,0.03142533661662905,0.01640437698870989,-0.058302856649531276,-0.02116242516616107,-0.0077913474647187675,0.04606209326322297,-0.011903625178442012,0.04212318430312445,0.014037653607327227,-0.037592355103183706,0.03871128630250564,-0.027382937540011865,0.03829744984767136,0.009579705334316069,-0.5762605082856407
A. CHILE CALIFICADO,0.0,-0.08547725207356838,0.10500106601712123,-0.024908616827732932,0.03189195492578012,-0.04592669674964023,0.02854077345684325,-0.0010702168498021303,-0.03501505144701267,0.31563015854623,0.0773100880087274,0.00953188982999742,-0.0036697416365247815,-0.0486089352701744,0.08430267718881002,-0.030927009263439942,0.029003941642546716,-0.03777497337834257,0.0430544681148215,0.05009232101698702,0.0057835871713443066,0.044803995450846124,-0.027613897939606225,0.024021345665280025,-0.004204986717238235,-0.08807964821888292,0.1370280483771995,-0.006988654692175689,0.02434321822703578,-0.0373292619222626,0.052228511576234204,-0.05549172663777735,-0.017807788909618094,0.06134090328076236,-0.05346005569653611,0.027636368688966018,0.07320182223961091,-0.10292537318560624,0.07986325552670115,-0.02887018299894506,0.03578485056488634,-0.06375334519981135,0.011885561565967873,-0.007931119645467777,-0.020965993819726858,0.023776825257293188,-0.03499092145499183,0.026815205473559756,0.021118654204623333,-0.08711354986265629,0.0862244320452159,-0.04278450410076229,0.005281284628319449,-0.03049298124094557,0.03632973705320408,-0.030748157974785917,-0.021414105346195145,0.04924294135692575,-0.09146986292507386,0.026615258290832777,0.009679257972051492,-0.09958864645890197,-0.08942424161057738,0.037198465711933526,0.03369049673335711,-0.0017670531127021993,0.04265652309716317,-0.007193577158746356,-0.06933177343118524,0.021906456509446226,0.005648721050173888,0.06631340095685756,0.03662292777028742,-0.5825621998868604
AC EMERGENTES,0.0,-0.08034487166120863,0.11782863641996233,0.0006397102121726839,0.020300580630803866,-0.019627352585169677,0.1060709342537185,0.042350971517499225,-0.0816806118175607,0.07506253335983337,-0.01416337022062375,0.005602847700029834,-0.048296612480879575,-0.10556843048211217,0.09683943348009727,-0.02266663998074503,0.022719618274628317,-0.013646423520418116,0.04047925606465963,0.03767342674038199,-0.0064896043118306546,0.023084506556240614,-0.07553243718935032,0.01845095540353059,0.01358042246104274,-0.08390897515096207,0.1525621296905133,-0.02381982140578509,0.08034963994652133,-0.03257525931752958,0.04559049953255356,0.0011975117421183512,-0.036998045307252814,0.04771549533407082,-0.01784989933474057,0.024340463310226435,0.01898308388590708,-0.12410703505772958,0.11479382953092343,-0.0515494454270613,0.04744384360924769,-0.04286259177324192,0.02967405926148481,-0.004663221622151714,-0.7059813653141355,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCIONES CHILE,0.0,-0.06533007033858262,0.08702722118497475,-0.007306448168458379,0.026879174296897457,-0.06903415658153522,0.019188623544292183,-0.011637611893314914,-0.04763803924104271,0.047734840962905034,-0.043263725722351265,-0.022136621087257335,-0.010146187350776104,-0.03300127384197504,0.0968620656995467,-0.02756749010509041,0.030443715572974428,-0.04293433852443196,0.04989209370244296,0.001965047166591294,-0.0549308465401922,0.05122923139609381,-0.03461548301316575,0.009983711610705992,0.004089977028086222,-0.07560939536680322,0.1736604328860234,0.013876837768898476,0.016803267977750558,-0.044074257801509975,0.05770729359592486,0.02407772807010078,-0.008111962664671957,0.08897960498094526,-0.07080144566990576,0.012021767562982344,0.09471790715467421,-0.11532115290748324,0.07485305192104463,-0.016599612643945605,0.03482291841755569,-0.07228501185147596,0.010818537592925948,-0.004413387409810565,-0.023707587410054964,0.012082420121019899,-0.03903502977080664,0.010325733454608299,0.03611820620888695,-0.08784214834116477,0.07333124784873002,-0.03964600313690514,-0.031181907986390756,-0.03273065897456362,0.03858727765865533,-0.048758998540966436,0.0028628446780258887,0.05960427931262591,-0.1054303225422415,0.03256998990726334,0.01806749033641597,-0.11367958679421952,-0.18324672678499965,0.034159856867421956,0.027945429093807928,0.007979439601281335,0.05503161812745705,-0.012401865947048618,-0.09558911568787942,0.016850243553244937,0.03270429000600594,0.07832690057720582,0.07194712661997493,-0.5812730614043595
ACCIONES CHILENAS,0.0,-0.06606848248412067,0.09984277552612664,-0.011219702315285351,0.03120402880953721,-0.07349515778147897,0.01237102519627542,-0.006603478357732673,0.015776758247494804,0.03795968854217335,-0.03642491460988262,-0.008655611999723534,-0.015139957049698727,-0.028312479498403653,0.12520766587199383,-0.009914827714733176,0.027435996581838706,-0.04270370820624403,0.06410652046590126,0.016252366560257636,-0.0420715535428543,0.05123807153798676,-0.020830614253831814,0.07651653339306108,0.03473785392636275,-0.050383156022220876,0.17543619000963284,0.015106002046602729,0.02162970922817098,-0.04341863511698352,0.05419648940157851,0.02311447923302401,-0.010809554006772082,0.1270021876575138,-0.06825984952121689,0.01835929806052583,0.0862006049786419,-0.10918001279448108,0.0802740860740736,-0.018607335191248353,0.03545782226967087,-0.040502311062244334,0.01537394298173278,-0.01237246552849769,-0.1745880321717832,-0.0605047861148974,-0.041033114081544086,0.017347065926692773,0.04112444114071856,-0.0883531741477196,0.06905332631884131,-0.04399344760453161,-0.03211924010420619,-0.029851400136362227,0.038487224469201164,-0.04852026430879308,0.0025828507597411843,0.05016521501072391,-0.09960621837595718,0.03793890383450793,0.020246495751132132,-0.11217230194988237,-0.18216657028698613,0.04431272927419849,0.023364812303759086,0.008476700391205183,0.05315347067216902,-0.022748080551992622,-0.09699850327250015,0.021384723668736783,0.03730851796016044,0.07825903346071161,0.0760546750871105,-0.5816904348881058
ACCIONES EMERGENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.11122524260975153,0.03439791943929471,0.05255894976029585,-0.11745574072239828,0.11075525194037028,-0.036904468151876424,0.02733829970725754,-0.05282002298245969,0.016489000001479903,-0.011914228360359935,-0.04984924396886825,-0.01730654585446556,-0.03165209550384629,0.024328607093671906,0.03281601056653627,-0.06913575098207603,0.11065544506645875,-0.004979445190570253,-0.016200892430806246,-0.7764018454172107,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.4445856380220685,0.14180690878969604,0.10469961414921625,0.06362285410859858,-0.5649290841706988
ACCIONES EUROPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.18701179362712939,-0.03691055386945452,-0.1181494849975937,0.10354329379449423,-0.014416545625207111,0.05446931332108873,-0.07171420688184893,-0.06387969331255561,0.04513268122735359,-0.00419722885974505,0.0024626601360735467,-0.0649379624368922,0.05143275320468943,0.03238027332482396,-0.10116053209488451,0.16796546775311305,-0.00015973191383000795,0.37007335660542395,0.10051739393474501,0.03546865344675565,-0.021897872928196893,-0.04974161571522695,0.04971472062289273,-0.03659002059182315,0.053864305888781105,0.008116613051948995,-0.13301138488820008,0.09682594796849209,-0.037810174538516095,0.06394888865930026,-0.03972727848602753,0.04058739870571082,0.008540586690201746,0.0880541296842774,-0.013052590807451137,-0.07672092126687535,-0.019266639212129677,0.015877540857400785,-0.09630827283132648,0.14471505990843947,-0.020634185856122866,0.05412758575741239,-0.04194365634381181,0.03443782444891963,-0.021287722865953596,-0.015727301542071692,0.026355671877041686,0.062329478076893485,0.035555825652267226,0.016209985190430265,-0.062149100018542014,-0.14166010364825365,-0.028294005130319655,0.04821399367628443,0.023477079971787607,0.04706135685305446,0.015794732205084205,-0.05025269617039996,0.02874297890454569,-0.015815406812605737,0.058473787223704665,0.0174304969335064,-0.5791312824684993
ACCIONES LATAM,0.0,-0.10133311340306494,0.07760560224934387,-0.005188628292624342,0.02826019468752583,-0.03857086416208988,0.018738764384940376,-0.04830979216664433,-0.07497500825334125,0.048334401874014166,0.0011908864013614462,-0.009440641311369014,-0.05365208013026834,-0.055695689146593175,0.16870832967963567,-0.0009876915317729162,0.046111208647731106,-0.035135713486703524,0.06634805442714797,0.03402092120271094,-0.03316274924110807,0.0550066019437776,-0.07540116876722858,-0.0075641390175216205,0.05798544900260216,-0.05468131885161143,0.13923563708009223,-0.03248805689625578,0.06135135326112495,-0.07442841981882775,0.06533227272830278,0.024814187754463424,-0.14609376448631695,0.005799100286354442,-0.07231218307133891,0.04138398456155623,0.04977221388337849,-0.07556788283374638,0.2708938922423825,-0.04896925429036836,-0.0290425242497947,-0.10944276643085682,0.07355831163828852,0.005720548034548356,-0.044762367418352156,0.14030586470600004,0.08380447833191762,0.01727770934332984,0.07941297990990082,-0.10369883750154607,0.08536511563940952,-0.06900063908100018,0.04340280523642237,0.03178563641323784,0.0909451540535604,-0.04029641507089632,-0.043003145648241925,0.05173094717677662,0.04629239771399818,0.05548080291808377,0.045669514889895346,-0.08769717268803323,-0.2674244043420355,-0.15858462652502936,0.034059899529076176,0.14381219968584835,0.06216899683300747,0.002251188299537299,-0.05960831249189025,0.01363154125338073,0.021471352233828123,0.13949163038483214,0.0035397532227445794,-0.5834253333580974
ACCIONES MID CAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.873005574762645,-0.08173757108922108,0.29940375244079287,-0.025070747543466942,0.06489388485922265,0.004367583563698929,0.09056387777968178,0.006249739785445962,-0.009095808401384797,0.03100439557653023,-0.05051267363080825,0.03474982691051731,0.013409344479772267,-0.08894515819112059,0.08711023723598776,-0.04167658912666872,0.0021108485581435854,-0.03373092867801608,0.029233309164981458,-0.056698098821004184,-0.03360530213048707,0.04340361762481426,-0.1609971283380649,0.015771087132907535,0.010069685551550744,-0.11339509993316454,-0.11014516951586839,0.027728044547882913,0.0484755273249986,0.019267490966715428,0.14827156570120725,0.16626414640508225,-0.07470135089581964,-0.012460414258659402,-0.03654826559025337,0.06338533131237423,0.0565708298634191,-0.573608464669455
ACCIONES NACIONALES,0.0,-0.07250614386784993,0.1357336848956725,0.0023527175605511097,0.032780411938722054,-0.06129314421703658,0.018578633772109887,-0.011101923229751898,-0.04252856521039061,0.041287214289132734,-0.040297003982975865,-0.0030156277375338325,-0.005196376143376202,0.006375800819194977,0.0932924301408189,-0.05966560099854268,0.030746856099834297,-0.04163361697744827,0.053677912434825226,0.007842064779963298,-0.045148244620096256,0.04580429906396111,-0.03239184066497236,0.018877802778847874,0.003932317948461828,-0.08360154030484301,0.2204185067355917,0.009260358426300241,0.030088991770308215,-0.00797938932136033,0.05649771883684718,0.024492184152699492,-0.014446140605490432,0.08014650835005122,-0.06329581244494553,0.021847138319395,0.10295752489361676,-0.09316973035430309,0.0825908301537468,-0.01978342257087251,0.02395518875761793,-0.07489890822447498,0.014177787368455208,0.0024208129213740825,0.018802125394883573,0.014429573689369812,-0.0402410605743303,0.02287462201146484,0.03160050138830783,-0.09080300150754173,0.07628006689749323,-0.053032227244196206,-0.04452517282438995,-0.033834174279535945,0.07019444903406002,-0.04046159563564056,-0.006875813268440556,0.04609356144713517,-0.09998579242437167,0.03497457730153908,0.013623684630286625,-0.10452980463344907,-0.1386996405383637,0.028310683541863835,0.032966461271586533,0.0008714348255718374,0.05069422751136132,-0.016980348434184167,-0.08028172824827196,0.02010571766243019,0.014230508668710229,0.07146426298995645,0.05847689826982139,-0.5806391534002696
