fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21
9761-6,INDICE BONOS BRASIL,IT,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",FM DE LIBRE INVERSION,6,D,9761-6IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981,0.9977,1.068,0.9951,1.0525,0.9969,0.947,0.761,0.7209,0.7517,0.7668,0.8427,0.7915,0.7503,0.7461,0.7963,0.8663,0.8202
9761-6,INDICE BONOS BRASIL,R,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",FM DE LIBRE INVERSION,6,D,9761-6R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0761,1.0967,1.2044,1.1311,1.0718,1.0653,1.1363,1.2354,1.1687
8533-2,INVERSION BRASIL,A,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2A,554.0705,556.9759,500.235,555.8791,511.8241,543.8896,490.9527,436.1905,388.5455,393.0006,398.4127,376.5652,366.5556,363.3372,424.9638,456.9274,430.1728,486.4429,517.7649,527.5009,510.7062,554.9952,506.5974,504.1296,538.7491,561.6708,558.4471,551.2072,518.9663,509.0548,555.1459,565.7136,598.6648,569.1536,554.3884,556.1739,631.4179,619.4876,629.934,606.451,523.8591,491.4651,544.1393,509.7047,514.845,651.8007,621.5428,640.05,697.421,656.3587,649.7285,651.9995,687.1517,701.5959,768.7745,744.9992,759.6013,824.4089,868.1314,921.9757,939.6233,,,,,,,,,,,,
8533-2,INVERSION BRASIL,B,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2B,1518.9328,1530.1346,1377.481,1534.1841,1415.9103,1508.034,1364.4511,1215.1008,1084.8339,1099.848,1117.5265,1058.724,1033.0007,1026.1791,1203.048,1296.4728,1223.424,1386.6003,1479.3472,1510.703,1465.9268,1596.7929,1460.8563,1457.152,1560.8723,1630.7308,1625.177,1607.7505,1517.2639,1491.6666,1630.5436,1665.4834,1766.4968,1683.3588,1643.4129,1652.5758,1880.5542,1848.9326,1884.5234,1818.3916,1574.4331,1480.4287,1642.9445,1542.5862,1561.6823,1981.7509,1894.0462,1955.0226,2135.2609,2013.8024,1998.1384,2009.6759,2122.9975,2172.5467,2386.1576,2317.7905,2368.5872,2576.7032,2719.5211,2894.9725,2957.3098,2627.3943,1563.84,1676.2834,1789.0196,1954.8454,2020.1489,1963.2441,1808.2016,1686.5643,2024.2307,2126.2085,2044.9573
8533-2,INVERSION BRASIL,BCH,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.3246,878.5745,523.8217,562.4092,601.2536,658.0654,681.2048,663.1417,611.7763,650.4426,650.4426,650.4426,650.4426
8533-2,INVERSION BRASIL,BPLUS,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2BPLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.8441,2386.9657,2624.7782,2552.6074,2611.5539,2844.3983,3005.5106,3203.2193,3276.0875,2913.8487,1736.4027,1863.397,1991.0833,2178.1437,2253.5841,2192.7096,2021.8708,1888.104,2268.7296,2385.86,2297.4163
8533-2,INVERSION BRASIL,C,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2C,730.4808,735.3176,661.4104,736.0625,678.7557,722.3387,653.023,581.0631,518.3538,525.0924,533.1054,504.6362,491.9678,488.3407,572.0357,615.9641,580.7771,657.7124,701.1245,715.3924,693.6325,754.9288,690.1079,687.7881,736.1353,768.5066,765.2553,756.4431,713.2783,700.6832,765.2844,781.0357,827.743,788.1337,768.8149,772.4613,878.2974,862.8832,878.7652,847.2483,732.9726,688.6569,763.6221,716.3833,724.6707,918.8346,877.467,904.966,987.579,930.7068,922.703,927.2875,978.7644,1000.8053,1098.2974,1065.9461,1088.4349,1183.0902,1247.6648,1327.059,1354.5121,,,,,,,,,,,,
8533-2,INVERSION BRASIL,E,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2E,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,
8533-2,INVERSION BRASIL,L,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.994,494.6671,529.0591,563.3471,614.1997,633.2635,614.0152,564.2711,525.1071,628.8414,659.0084,632.3728
8533-2,INVERSION BRASIL,M,Accionario Brasil,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8533-2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.4719,715.1256,765.9308,816.766,891.7575,920.7849,894.107,822.8372,766.8498,919.6432,965.1735,927.522
8534-0,INVERSION CHINA,A,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8534-0A,1239.6052,1233.4511,1279.6425,1443.7288,1418.2861,1380.8823,1301.0185,1195.431,1177.6785,1272.4327,1270.2295,1246.9873,1092.0969,1044.7123,1119.0473,1093.1388,1124.0594,1082.266,1122.7946,1216.593,1199.0932,1163.1552,1194.6494,1135.6414,1152.6449,1189.2509,1231.071,1246.6927,1312.0295,1307.7979,1371.7358,1360.5647,1376.2656,1417.1568,1450.5354,1396.4441,1522.8195,1400.257,1365.8901,1376.7242,1443.2384,1392.0998,1345.6847,1370.4516,1310.6183,1215.9977,1247.3336,1204.7176,1268.454,1289.0363,1360.9425,1385.5708,1273.0263,1303.3782,1329.42,1313.4423,1315.4055,1372.9044,1539.8229,1522.5688,1548.3135,,,,,,,,,,,,
8534-0,INVERSION CHINA,B,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8534-0B,2995.961,2987.4066,3106.5558,3512.8646,3459.0578,3375.483,3187.7253,2935.8913,2898.8609,3139.4499,3141.1315,3090.8933,2713.3216,2601.293,2792.9241,2734.4582,2818.4039,2719.776,2828.2486,3071.7129,3034.4046,2950.3692,3037.1368,2893.8974,2944.1202,3044.0589,3158.4994,3205.8445,3381.7759,3378.5255,3552.0175,3531.3592,3580.2245,3695.2531,3790.8793,3658.0811,3998.4929,3684.4718,3602.4785,3639.2999,3824.0814,3696.9604,3582.0845,3656.5742,3504.8719,3259.4689,3351.0589,3244.1646,3423.8161,3486.7472,3689.8878,3765.1933,3467.4806,3558.2163,3637.828,3602.5422,3616.1215,3783.0476,4252.629,4214.8459,4296.173,4397.5728,4233.6072,4494.0002,4300.7493,4843.9923,4930.4715,5336.8166,5255.3691,5404.5559,5537.4379,5349.2743,6003.1737
8534-0,INVERSION CHINA,BPLUS,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8534-0BPLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.2213,2147.8814,2194.2402,2023.1468,2078.478,2127.5102,2109.3804,2119.7693,2220.2599,2498.7295,2479.4756,2564.7285,2564.7285,2564.7285,2564.7285,2564.7285,2564.7285,2564.7285,2564.7285,2564.7285,2564.7285,2594.5459,2509.3643,2819.4615
8534-0,INVERSION CHINA,C,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8534-0C,1521.6081,1516.1289,1575.2932,1779.9002,1751.1862,1707.5064,1611.1935,1482.6793,1462.8052,1582.8982,1582.4776,1555.8794,1364.6887,1307.33,1402.4757,1372.0174,1412.9667,1362.4289,1415.5935,1536.1794,1516.3058,1473.0924,1515.1997,1442.5435,1466.3636,1515.0058,1570.6606,1592.9271,1678.9529,1675.9953,1760.6013,1748.9128,1771.6932,1827.102,1872.8823,1805.7777,1972.1849,1815.9406,1774.0592,1790.756,1880.1225,1816.167,1758.2764,1793.3543,1717.5751,1595.9923,1639.5247,1585.9121,1672.3491,1701.8141,1799.4728,1834.7261,1688.2562,1731.0459,1768.3115,1749.7097,1754.8978,1834.3872,2060.4338,2040.4367,2078.086,,,,,,,,,,,,
8534-0,INVERSION CHINA,E,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8534-0E,1354.2245,1348.308,1399.7278,1580.2255,1553.4064,1513.4091,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,
8534-0,INVERSION CHINA,L,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8534-0L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.5768,1519.3769,1609.5172,1537.0374,1727.632,1754.7451,1895.3335,1862.5763,1911.3871,1954.3623,1883.9477,2109.758
8534-0,INVERSION CHINA,M,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8534-0M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125.4864,2044.5426,2168.5557,2073.5854,2333.6367,2373.3327,2566.8046,2525.6067,2595.1522,2656.8292,2564.4248,2875.5193
8078-0,INVERSION USA,A,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0A,536.7683,551.6961,551.4257,536.9042,547.2173,553.8138,590.4133,571.9367,546.9595,584.422,601.2033,590.9499,543.3867,528.3743,538.7622,529.199,559.8068,534.8089,548.2837,564.1453,544.0925,525.1209,563.268,566.5301,554.4121,575.058,584.9695,589.8494,598.6025,593.1652,590.8664,567.8611,585.5752,594.3758,617.1293,591.1207,613.1131,581.6408,572.6758,580.0259,612.7672,630.6825,637.2947,701.9461,680.8174,662.6073,644.4727,598.9965,615.3091,627.2669,660.4781,685.1143,668.2151,679.6062,710.6631,712.755,727.4967,747.891,849.9362,799.5774,855.3086,,,,,,,,,,,,
8078-0,INVERSION USA,B,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0B,3259.3772,3361.0912,3371.7367,3294.5678,3370.1378,3422.8412,3662.3953,3560.7649,3417.3174,3664.7375,3783.3184,3732.4023,3444.5531,3360.8516,3439.4661,3390.3757,3599.59,3451.0301,3550.9263,3667.0217,3549.1985,3437.9782,3700.7885,3735.8405,3669.307,3818.5256,3898.5534,3944.996,4018.1889,3995.789,3994.8671,3853.3741,3987.6475,4062.3893,4232.8372,4069.2829,4236.1219,4031.9532,3984.3352,4049.7603,4294.016,4435.2088,4498.1064,4971.6562,4837.2116,4723.1681,4608.3888,4297.1605,4428.5698,4527.9193,4783.1903,4977.2511,4870.298,4968.9414,5212.9461,5245.326,5370.6943,5539.2426,6314.8889,5960.0882,6396.2884,6011.826,5481.2814,6075.9002,6141.0548,6370.5107,6250.1364,6875.6165,6702.9984,6402.3358,7071.6074,6793.2944,6984.7771
8078-0,INVERSION USA,BCH,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.9086,1025.0492,1069.3751,1029.3659,1072.9356,1022.3992,1011.6125,1029.4923,1092.9765,1130.3078,1147.7985,1270.2532,1237.4273,1209.7936,1181.8501,1103.4383,1138.6314,1165.5155,1232.7933,1284.392,1258.3949,1285.4665,1350.3095,1360.4287,1394.6626,1440.2653,1643.9676,1553.5797,1669.4068,1570.9346,1434.1253,1591.6627,1610.7815,1673.0282,1643.508,1810.2865,1767.0147,1689.9069,1868.8648,1797.6018,1850.627
8078-0,INVERSION USA,BPLUS,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0BPLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.605,2108.6666,2195.8418,2150.2998,2195.4754,2305.0478,2321.1391,2378.3752,2454.8917,2800.7154,2645.379,2841.1571,2672.2938,2438.3266,2704.8402,2735.9358,2840.2622,2788.7247,3070.1512,2995.2875,2863.1221,3164.7601,3042.5313,3130.6831
8078-0,INVERSION USA,C,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0C,4278.3492,4406.8718,4415.2942,4309.0142,4402.3348,4465.7625,4772.3248,4634.0848,4442.0093,4757.6555,4905.6487,4833.5689,4455.2109,4341.8593,4437.8575,4369.2172,4633.026,4436.4329,4559.1378,4702.3015,4545.6995,4397.7395,4728.1813,4766.9885,4676.2291,4860.8925,4956.5527,5009.5218,5096.0764,5061.5275,5054.0237,4868.9133,5032.4685,5120.3749,5328.7488,5116.4351,5319.5383,5057.4262,4991.4396,5067.2543,5366.152,5535.8824,5607.3599,6189.9294,6015.243,5866.072,5716.5834,5323.8389,5479.7755,5596.371,5904.4764,6136.5852,5997.2015,6111.2554,6403.327,6435.034,6580.8538,6778.8826,7718.7483,7275.9507,7798.6782,,,,,,,,,,,,
8078-0,INVERSION USA,E,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0E,1008.6992,1038.2,1039.2965,1013.4422,1034.5069,1048.5454,1119.5692,1086.2111,1040.329,1113.303,1146.9857,1129.1683,1039.8924,1012.6261,1034.1322,1017.2964,1077.7992,1031.2128,1058.8304,1091.1474,1053.9375,1018.7622,1094.4066,1102.4475,1080.5349,1122.3391,1143.4498,1154.715,1173.664,1164.7446,1162.0255,1118.5093,1155.127,1174.3018,1221.0808,1171.4287,1216.891,1156.0388,1139.982,1156.3416,1223.5049,1261.1621,1276.3559,1407.7592,1366.901,1331.8664,1296.8539,1206.7262,1241.0114,1266.4404,1335.0232,1386.3583,1353.7131,1378.3187,1442.9596,1448.8674,1480.4754,1523.7239,1733.5495,1632.7075,1748.5132,,,,,,,,,,,,
8078-0,INVERSION USA,L,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.7046,728.9702,805.9276,812.3588,840.4983,822.3783,902.2218,877.2605,835.6366,920.5655,881.9352,904.333
8078-0,INVERSION USA,M,Accionario EEUU,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8078-0M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7321.3372,6666.8703,7381.1492,7450.9598,7719.9935,7564.6371,8311.2465,8092.7681,7720.0899,8516.7815,8171.3484,8391.1555
9294-0,INVERSIONES ALTERNAT,A,Balanceado Agresivo,FM DE LIBRE INVERSION,6,P,9294-0A,,,,,,,,,,,,,,,,,,,,,,,,999.9489,1000.1163,1002.9162,1017.6683,1031.847,1034.1813,1031.6178,1032.8687,1029.9439,1045.1097,1062.8072,1063.9724,1067.2239,1078.8177,1068.6284,1063.5569,1083.0241,1058.2687,1053.207,1067.643,1031.4851,1042.4574,994.49,991.7845,958.3441,987.3682,989.4463,981.5481,1020.2261,981.6415,980.2602,992.6204,972.7017,998.6479,1007.8432,1010.9339,1021.3789,1019.8956,,,,,,,,,,,,
