fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,userCategory,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
8812-9,A. CHILE CALIFICADO,D,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8.0,P,8812-9D,"Domestic Bond, < 365",,0.02805708594179812,-0.003358588583740829,0.01532598201257418,-0.006236936413425043,-0.03748800433798449,-0.00040221825331943073,0.007039030345226349,-0.03412176553663682,0.026462514716406815,-0.053120037345482984,0.00580628148708473,0.014330733016869601,0.006429239634480277,0.03162907007595828,-0.004514100986599767,-0.013538498028870638,0.007876504050942978,0.027998852671881957,-0.012221555867892975,-0.022042977424636456,0.050561724436224864,-0.017919872106484713,-0.024663344903230522,0.0002961646283623498,0.03561178518519892,0.09835667466782838,-0.0003511294353353289,0.004398978469915438,-0.021446561869733594,0.0845365130233191,0.033240927386345875,0.05215716437257978,0.037678508534313426,-0.12347954443927023,0.13341280399792121,0.06805510362632994,-0.04919117612863699,-0.03332609253358465,0.036493754224526054,-0.03894002827313625,-0.038653651711579196,-0.003716052135168235,-0.009698459296180073,0.02238244190860872,-0.02957109292610005,-0.0013792592514195734,-0.005773927833108927,0.0543723413123367,-0.02070233392480736,-0.009169203056924036,-0.026414318195884356,-0.028578522497300418,0.019138761252100345,-0.007693044435368779,-0.055835114833791,0.06992844572993517,-0.07283196900439626,-0.0926085658902015,0.05973853878432789,-0.0422116160474415,-0.10930746454580065,-0.1153052925773701,0.13267247108727664,-0.05771986314385136,0.07031083417872575,0.02023703568189772,-0.05005611156803125,-0.04462120943442538,-0.03513303394300804,0.14454119231455342,0.048542482458475256,0.007058683748618622
8289-9,ACCIONES CHILE,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8289-9APV,Domestic Equity,,0.03031725871296076,-0.011236520037807729,0.010636899048648951,-0.00861699658461712,-0.03894233544725256,0.002468798338131739,-0.007396461113433506,-0.036059844042277245,0.032645100116063475,-0.05288443004991872,0.0036880436935415872,0.006147819535270216,0.0062417161749985794,0.03167433800759589,0.007276242745104966,-0.025878764773160534,0.00427179961407731,0.026447495023112833,-0.017041761847016335,-0.027536827629867644,0.062187858208956115,-0.036330989563152394,-0.02072241431482913,0.006329218976999007,0.03967767554546686,0.09729593683779858,-0.007474257202412238,-0.005127476091456029,-0.027881670729298813,0.0653774669502949,0.014866107241974902,0.04631863684467641,0.04538854580852747,-0.12236968529203185,0.1127185409010456,0.050652912228185354,-0.04992187501458256,-0.019903585224914644,0.04313497051373427,-0.0490829412369459,-0.03430967390961692,0.020735291209500017,-0.019042277984026024,0.014085968515745728,-0.03426387766132011,-0.00819663210279109,-0.005956944879406012,0.05192541421216634,-0.023978117645025332,-0.011401821989312388,-0.01953331008840542,-0.057593424568625484,0.023901243720007903,-0.0177705070646198,-0.037179081456907515,0.07057548500520316,-0.061711100864876633,-0.05412854376856724,0.03666189743744752,-0.025955092899164645,-0.09277810874772618,-0.1726682102167314,0.13645678076984313,-0.08293893247604911,0.07307979238475193,0.019197849187407634,-0.05309404294589337,-0.03406174415634233,-0.035529861993229384,0.12700527542067408,0.03732891431502283,0.021519424669483644
8076-4,ACCIONES CHILENAS,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8076-4APV,Domestic Equity,,0.047433733058828365,-0.018137305852531704,0.02586529493131584,-0.015442558384261784,-0.044328883311736234,-0.010032779411860204,-0.011242821353307897,-0.03924338845324504,0.03246645945389792,-0.03555270085289075,0.0035211757872291027,-0.011120410355837995,0.030195053796216564,0.074801991043153,0.018680453472079916,-0.030446755208870524,0.00487426863192808,0.06004741290689197,0.0003733990784529073,-0.017078316376913927,0.07295237987878589,-0.029181546093774546,-0.011236528570646387,0.010688019681146521,0.04106069916355115,0.09866739678727687,-0.0005240403535486937,-0.003851218252707733,-0.026698672633812426,0.06174796568848406,0.01639560628669634,0.03489172570178445,0.04430469331698883,-0.10966259974155712,0.10741826994983739,0.05666028716920857,-0.04453095750389435,-0.0203253385440072,0.033838143365273465,-0.056003346296694456,-0.029869267235146824,0.020987280618922632,-0.02923321008429247,0.0112637059860341,-0.038511369650401694,-0.0014818516768719814,-0.004151637598119429,0.05560636789285689,-0.025005706922980875,-0.020400537519231432,-0.02037212470593608,-0.053436377536435264,0.019536907741749987,-0.015392644200595051,-0.03325480270039893,0.05532394805984486,-0.061337372611111496,-0.044432257085024185,0.03296058841362104,-0.01988258388564834,-0.09837871518624253,-0.15217177642349822,0.12912829418914384,-0.09440809309792475,0.07996295455090197,0.015541236853577223,-0.061667025403143394,-0.035633306654063945,-0.028523352186015094,0.13227008336298152,0.031447884003679816,0.024364409333884396
9254-1,ACCIONES EUROPA,ALTO,Accionario Europa Desarrollado,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,9254-1ALTO,International Equity,,0.03760499976141226,0.013984689234167699,-0.012843277282350444,0.017594982481344796,-0.011900085031537925,0.06508121121592965,-0.04455994911569744,-0.04251588837027755,0.061697712104387716,0.030274504084113012,0.016449152023168656,-0.09364333216678,-0.021043156195073576,0.06594478442830276,0.014908231765637492,0.02216169742069507,-0.16628287008605802,0.06439138062482685,0.04225360528951683,-0.020662823911335004,-0.04785025178326008,-0.00045127484563844966,0.040541616460468166,0.0045349668047747205,0.017951158458751948,0.05444440493406577,0.04995123570018456,0.06551667809219941,-0.01057314067568016,0.0063563883871431415,-0.06047240675336951,0.046776101661728076,0.006118133977635276,0.011506410250394117,-0.02501604675204272,0.03824305103926795,-0.06667033298411651,-0.011439348199523414,0.023555015048284167,-0.004706710179916862,0.013182991902391805,0.008785118868304131,0.06345471975551242,-0.03872725630131746,-0.08636332583215978,-0.04549745362460744,-0.050402546572072104,0.04280703929314056,0.015445462974280622,0.020859972025780937,0.053880454013276013,-0.017814929861701967,-0.007515826131518466,-0.002502563707041716,-0.024737937387802833,0.030427557458314602,0.03871646621132041,0.11082111223443847,-0.03815652194360397,0.025621125378111786,-0.04707865036624703,-0.20355300659553677,0.06791992511950284,0.02350277000224299,0.04844844962902606,-0.05271514967936841,0.07105450231210986,-0.031470433133468645,-0.09169951211064953,0.19317398549402887,-0.03394829639640351,0.01962163814332829
8247-3,ACCIONES LATAM,A,Accionario America Latina,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8247-3A,International Equity,,0.017204452561472294,-0.05082990490329553,0.05047571701856479,-0.04950628198495988,0.020643683888744047,-0.025067211237718934,-0.07531846134991993,-0.050856357256006346,0.05297808975619933,0.019148222789961755,-0.053516092889703715,-0.05287323829294088,0.028784545672261297,0.11386283533228636,0.05340349556584156,-0.037414646964668674,0.03234000326633746,0.044100546579337596,0.03496546563187741,-0.033545773155080005,0.04759490229286012,-0.07260511220703203,-0.009393692533469111,0.054087402964757336,0.04360963476866342,0.03290533881599922,-0.006947371009078718,-0.006817040000921759,-0.020022299397687515,0.04285762738106347,0.012733054935853083,0.03283877208900399,-0.0010296482569320808,-0.015579533976200932,-0.001619370192799452,0.07904594507738882,-0.03410662845214896,-0.01783636401124611,-0.00459479921703243,-0.12137370171124662,-0.03300100715979848,0.08046870634367376,-0.030470923109984338,0.00332415339642278,0.08490111261026101,-0.04217528371886925,0.011576606158001379,0.07344493261365703,-0.038045818057492964,-0.028370858718183123,0.014725475781869557,0.02769518397857862,0.030618882434448214,0.04626869577505577,-0.08035640738482341,0.04473549749863204,0.07599354363926936,0.024356196534048635,0.016468763919764262,0.02808611810390249,-0.09570864245641231,-0.3573098727269499,0.035468469187859286,0.0589498600265963,0.08818038190282085,0.03277000338649816,-0.03544535216420208,-0.06544756790982087,-0.019082440822907776,0.21366433608648538,0.006957911355092383,-0.017004657138340318
9537-0,ACCIONES MID CAP,APV,Accionario Nacional Otros,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,9537-0APV,Domestic Equity,,0.04794339059953412,-0.021308025892891325,0.004851105303369185,-0.02009304723996569,-0.0334424128302544,-0.015115746882652381,-0.004841664409957147,-0.01846483169731672,0.01184337102375177,-0.035590377898801484,0.002579140195415164,0.004447602182354959,0.028131737602055562,0.05494472177576559,0.0035952963461283183,-0.0020640351775297883,0.0002782574915053959,0.07145178514029282,0.020250377858146318,0.020582256331785898,0.023891871884725968,-0.03773977340757878,-0.05824910326707172,0.0097055233663072,0.04500256217492293,0.13413441151415295,0.027655584654773135,-0.017768302037021733,-0.04254637365449104,0.0981575385571194,0.01814853069443001,0.03607211772604402,0.07792262744764022,-0.17626966686932133,0.18197473881465154,0.05515661167629693,-0.022870327769178633,-0.04515515668884995,0.0513935321851422,-0.01190441228367578,-0.0569381804935819,-0.00435960826558579,0.012255890718333662,0.037403774324659356,-0.04437702129838084,0.008130479011025926,0.0032261681548848564,0.0323461906785143,-0.007044584765811823,-0.02443099797026016,-0.008087505227756253,-0.03814054581865278,0.0251723977536793,-0.032595327624938775,-0.08733303557350947,0.07156650783864316,-0.0965567126208492,-0.13884005009301015,0.04096644205318789,-0.020509398338771412,-0.10478377424012264,-0.15825000540711542,0.14127817698947198,-0.01606618766561485,0.08648857042771008,0.002487210170168286,0.023409669826505608,-0.06910799627968733,-0.08245658649600196,0.09717665630141004,0.021399226889008416,0.037976822027328216
8529-4,ACCIONES NACIONALES,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8529-4APV,Domestic Equity,,0.03310826490108565,-0.009743783314343335,0.021097506062935034,-0.007140167605204306,-0.03795325833448393,-0.00013689303627717475,-0.009164885626650854,-0.03070613376118536,0.02558747529677219,-0.04246798046700917,0.0032914992753474426,0.00889064064880185,0.017539753977152905,0.044640321099625124,0.01307025253427141,-0.023076654560311383,0.006424550839488896,0.037816964471811154,0.0033751345476411565,-0.028078927705234347,0.05498199700838513,-0.033344732036352465,-0.012110790730267773,0.007639436508275033,0.03661102156046159,0.1006300025695861,-0.0033080201745123716,-0.0017937501817990587,-0.020717345425926514,0.06612621565416088,0.01946070668182598,0.039410561887462725,0.045672152771111696,-0.10906922285179455,0.11804658564434023,0.05308638196550142,-0.04354294062913522,-0.015841171727378645,0.031175818942284828,-0.058291860387820194,-0.03356095778851731,0.022765366516041663,-0.02946815570076733,0.009823217266740736,-0.040335776364128995,0.0042824526215932135,-0.004445801523923487,0.051976946751476794,-0.03116891556310608,-0.018364302084261097,-0.02199896426959791,-0.05579409157767512,0.017061228715513632,-0.01961295168587529,-0.040945097842719935,0.06193455757191657,-0.07292263024328882,-0.06879522520089809,0.037159495968887235,-0.023432468640345983,-0.10481295349296038,-0.16941194775156543,0.15141307198301823,-0.07083770766218833,0.08062025351055202,0.010186703344712944,-0.05312475265633243,-0.037233380022910656,-0.03664320679344091,0.13470490663448142,0.042234688093146566,0.02713696963278367
8740-8,ACTIVA A,A,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,8740-8A,"Balanced, Aggressive",,0.016769074814720453,-0.0008200987126000259,-0.008684898558653398,0.0047305776056465465,-0.001949091208184206,0.03297754448726309,-0.0319831445941996,-0.03923005739402152,0.04195980748560246,0.014940797817585061,-0.015871293054764424,-0.051049277176752894,-0.04198406037370361,0.0074262676971308395,-0.01593224984353092,0.040568674705472985,-0.043879730020571994,0.018239062690412755,0.003923580413095484,-0.027882262308820738,-0.0065418486304364976,0.007709379765955315,-0.004583100189912592,-0.005098902876219613,0.019895910759648805,0.035112506767731366,0.014008275114067548,0.01704572934055193,-0.015855635802970114,0.017650467185994057,-0.023037483828159733,0.026637034943339133,0.012765823377915764,-0.029548977700549317,0.01070992347588784,0.03696204368140976,-0.0546158396059635,-0.005113029602147545,0.012072431084423352,0.009254595928616993,0.0035021298820714364,0.005782862023733459,0.04724205337722198,-0.0213871388629433,-0.024563535719753782,-0.013141053336064634,-0.03739054082526949,0.036690939751647944,0.009053414570887375,0.039092431668298344,0.03235277709348394,-0.023764566478761684,0.0191361654292177,0.02699709798609029,-0.0006364404970475857,0.024128636907652767,0.002699800006212616,0.07620783334697734,-0.02866203055240457,0.04657608799137258,-0.04723072298020403,-0.07259230197693234,0.07806080568949958,0.012989984127929066,0.05158982206718021,-0.015405797936748455,0.06182230809481637,-0.014575696935862026,-0.032137302907363496,0.078578539896063,-0.019530645659576296,0.026787764096824374
8116-7,ACTIVA C,A,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,8116-7A,"Balanced, Moderate",,0.013058418557591711,0.0012642830058118282,-0.012994385175359113,0.0043196565821777,0.00040281120868024267,0.02096410475625876,-0.01407748931342856,-0.022749502428050628,0.022355289054865723,0.004915954711540493,-0.01228192327457478,-0.02698984921617853,-0.017379756047220418,0.0035328724723449056,-0.007178084112730798,0.02586326366727354,-0.02306622536777725,0.013029017630084905,0.00433966153893639,-0.011095698350269911,-0.012906819351879206,-0.004250096320003616,0.010443225823876245,-0.0014072512251956937,0.0190943806411612,0.022479674111459236,0.0072946576773218474,0.007390861824099426,-0.009838647650721177,0.008394466014937318,-0.013891601026932321,0.013289361854985637,0.008900868483628477,-0.022978667010790654,0.004082115503577288,0.021671589362613153,-0.029779705562835712,-0.004125082849701256,0.007790270050047843,0.0057571713348552045,0.0021551101459351685,0.0038758424887204157,0.02496796449050387,-0.011825449524095477,-0.017563781054602656,-0.0065457479457748935,-0.02008281912069798,0.02150380246641026,0.0038905342320101344,0.031600045020318435,0.02204024266369564,-0.004006758899640417,0.01598623527760723,0.027095680832057933,0.0035809232911507838,0.01260548731622535,-0.008718291185537241,0.04248581596205625,-0.006445863656616702,0.02212818754548196,-0.03541307946903949,-0.04368501157625837,0.061098801864723606,0.023315768772159462,0.024286816028009417,-0.01106773972924735,0.03716010805941883,-0.014130509592105822,-0.015179925446731635,0.04714757168465522,-0.012316379357921514,0.018406640065980584
8741-6,ACTIVA D,A,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8741-6A,"Balanced, Conservative",,0.008357027001824058,-0.00036245921033817297,-0.012259586455930505,0.006171026494280696,0.003088661078857413,0.020879848766426345,-0.002833008407187143,-0.015815565548418675,0.012077245201255415,0.003450353320914701,-0.007874582454806212,-0.010454980775241762,-0.0031738989085250413,0.003928342340151714,-0.002162678526684947,0.014089621772078287,-0.010254307972637156,0.008958478495473265,0.008824350634227596,-0.003377607103284719,-0.00876867197398079,-0.010751867916211966,0.015456202274385156,0.0025448651705646252,0.01249704155818332,0.015468184743863134,0.005080608585055435,0.004393155635851853,-0.004981574274665723,0.004663299973735491,-0.00650577383397255,0.002602740033821771,0.0012971616579000589,-0.014127691772956474,0.004922289856539752,0.014118882829161628,-0.01566269752150229,-0.0012653295267277542,0.004568124609906077,0.0046826920763411994,0.002529711975219895,0.0036186898846304327,0.013639010159153697,-0.006098105855414371,-0.009808646529172682,-0.001095140802515715,-0.007852289573808457,0.011711238694752657,0.0024062210423294594,0.015852564767793842,0.011873836591451914,0.0018279830721519286,0.01601169132014091,0.021914204148908434,0.007404805136645987,0.01043578754799368,-0.021564525901242027,0.017091069133825076,0.0035513520251724273,0.01551453502767286,-0.024876418055072458,-0.021904568849478223,0.04402013599114629,0.02204248309277368,0.012647863161316497,-0.006567213105963865,0.022973663037041403,-0.014484830927477654,-0.0017205345703297237,0.024225243993985845,-0.0029756555669304685,0.014399485603388662
