fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21
8741-6,ACTIVA D,A,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6A,1144.2227,1153.785,1153.3668,1139.227,1146.2572,1149.7976,1173.8052,1170.4798,1151.968,1165.8806,1169.9033,1160.6908,1148.5558,1144.9104,1149.408,1146.9222,1163.0819,1151.1553,1161.4679,1171.7171,1167.7595,1157.5198,1145.0743,1162.7728,1165.7319,1180.3001,1198.5572,1204.6466,1209.9388,1203.9114,1209.5256,1201.6567,1204.7843,1206.3471,1189.3042,1195.1583,1212.0326,1193.0489,1191.5393,1196.9824,1202.5875,1205.6297,1209.9925,1226.4956,1219.0163,1207.0594,1205.7375,1196.2697,1210.2795,1213.1917,1232.4239,1247.0575,1249.3371,1269.3411,1297.1577,1306.7629,1320.4,1291.9262,1314.0066,1318.6731,1339.1317,1305.8189,1277.2155,1333.4387,1362.831,1380.0679,1371.0047,1402.5017,1382.1867,1379.8086,1413.2348,1409.0295,1429.3188
8741-6,ACTIVA D,APV,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6APV,1145.4186,1154.9908,1154.5721,1140.4175,1147.4549,1150.999,1175.0316,1171.7027,1153.1716,1167.0986,1171.1255,1161.9033,1149.7556,1146.1064,1150.6086,1148.1202,1164.2967,1152.3576,1162.6809,1172.9408,1168.9791,1158.7286,1146.27,1163.987,1166.9492,1181.5326,1199.8086,1205.9043,1211.202,1205.1683,1210.7883,1202.9112,1206.042,1207.6064,1190.5457,1196.4058,1213.2976,1194.2942,1192.7829,1198.2317,1203.8425,1206.8879,1211.2551,1227.7754,1220.2883,1208.3188,1206.9956,1197.5178,1211.5423,1214.4574,1233.7096,1248.3584,1250.6404,1270.6652,1298.5109,1308.126,1321.7773,1293.2738,1315.3772,1320.0484,1340.1987,1305.8244,1276.1392,1331.2236,1359.415,1375.4807,1365.2907,1395.4739,1374.2089,1371.2638,1403.9074,1399.137,1418.6811
8741-6,ACTIVA D,E,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6E,1164.6674,1174.671,1174.5445,1160.4312,1167.8898,1171.7859,1196.5574,1193.4716,1174.886,1189.3783,1193.7765,1184.6778,1172.5908,1169.1477,1174.0397,1171.7896,1188.6025,1176.7043,1187.5483,1198.3331,1194.5801,1184.4069,1171.9613,1190.3787,1193.7122,1208.9083,1227.9207,1234.4637,1240.2029,1234.329,1240.4011,1232.6454,1236.1584,1238.0774,1220.8873,1227.2095,1244.8534,1225.6378,1224.3988,1230.2954,1236.3715,1239.8049,1244.6084,1261.9051,1254.5193,1242.5307,1241.476,1232.0415,1246.7879,1250.0756,1270.2162,1285.6154,1288.2938,1309.2443,1338.2764,1348.5296,1362.9386,1333.8873,1357.0083,1362.1746,1383.3194,1348.1598,1317.8472,1375.0703,1404.5471,1421.4955,1411.3234,1442.8908,1421.3147,1418.6288,1452.7571,1448.1886,1468.7923
8741-6,ACTIVA D,GLOBA,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6GLOBA,1173.1165,1183.374,1183.4475,1169.4194,1177.1356,1181.2566,1206.4331,1203.5262,1184.9787,1199.7993,1204.4339,1195.4569,1183.4609,1180.1734,1185.3127,1183.2353,1200.4162,1188.595,1199.7524,1210.8535,1207.2597,1197.1818,1184.7967,1203.6202,1207.1957,1222.7509,1242.1919,1249.0162,1255.0361,1249.2974,1255.6562,1248.017,1251.7795,1253.9357,1236.7285,1243.3439,1261.434,1242.1529,1241.1081,1247.2901,1253.663,1257.3509,1262.4367,1280.1986,1272.9148,1260.9645,1260.1013,1250.7375,1265.9227,1269.4556,1290.1274,1305.9826,1308.9257,1330.4304,1360.1632,1370.8169,1385.6917,1356.3858,1380.1163,1385.6057,1407.3525,1371.7993,1341.1828,1399.6483,1429.8945,1447.3863,1437.2724,1469.6691,1447.9618,1445.4708,1480.4875,1476.082,1497.3369
8741-6,ACTIVA D,INVER,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6INVER,1152.5515,1162.2726,1161.95,1147.7993,1154.9804,1158.6429,1182.9357,1179.6846,1161.1227,1175.2455,1179.3976,1170.2096,1158.0733,1154.4894,1159.123,1156.7112,1173.1084,1161.1743,1171.6762,1182.1159,1178.22,1167.9876,1155.5245,1173.4842,1176.5705,1191.3656,1209.8964,1216.1434,1221.5898,1215.6041,1221.3766,1213.5336,1216.7921,1218.4739,1201.3584,1207.3744,1224.5251,1205.4382,1204.0151,1209.6146,1215.3821,1218.5567,1223.0701,1239.8568,1232.3973,1220.4128,1219.1764,1209.7058,1223.9769,1227.0161,1246.5733,1261.4785,1263.8918,1284.2344,1312.4888,1322.3198,1336.229,1307.5248,1329.9776,1334.8143,1355.3046,1320.6474,1290.7345,1346.5592,1375.1916,1391.5579,1381.366,1412.0241,1390.621,1387.758,1420.9108,1416.2029,1436.1074
8741-6,ACTIVA D,PATRI,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6PATRI,1211.7415,1223.2749,1224.3905,1210.872,1219.8975,1225.175,1252.3509,1250.395,1232.1376,1248.6081,1254.462,1246.1703,1234.7136,1232.2626,1238.6805,1237.5265,1256.5627,1245.2118,1257.9687,1270.6874,1267.9578,1258.4417,1246.447,1267.326,1272.1709,1289.5524,1311.1687,1319.4561,1326.9422,1321.9608,1329.8186,1322.8514,1327.9307,1331.3484,1314.1588,1322.311,1342.6901,1323.1818,1323.1922,1330.8766,1338.8133,1343.856,1350.4383,1370.6021,1363.9247,1352.2681,1352.4537,1343.5444,1361.0119,1365.8576,1389.2789,1407.5092,1411.8798,1436.256,1469.6016,1482.3711,1499.6886,1469.2192,1495.9521,1503.1785,1527.8764,1489.8683,1457.2332,1521.3815,1554.9166,1574.5834,1564.2429,1600.1793,1577.0528,1574.7399,1613.2849,1608.893,1632.4762
8741-6,ACTIVA D,V,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6V,1834.7462,1849.3981,1847.9741,1824.5986,1835.1098,1840.0516,1877.7058,1871.6229,1841.2956,1862.7736,1868.4635,1852.9944,1832.8738,1826.3597,1832.7868,1828.1016,1853.1032,1833.3772,1849.0475,1864.6037,1857.5727,1840.5335,1820.0261,1847.4034,1851.3498,1873.796,1902.0044,1910.9137,1918.5262,1908.2157,1916.3328,1903.0894,1907.2899,1908.9855,1881.2735,1889.763,1915.663,1884.9643,1881.8117,1889.6623,1897.737,1901.7872,1907.891,1933.1244,1920.5781,1900.9645,1898.1336,1882.4611,1903.7308,1907.6089,1937.0595,1959.2864,1962.0679,1992.6974,2035.5357,2049.7725,2070.3463,2024.8745,2058.6965,2065.1653,2095.8372,2041.3054,1994.09,2079.3465,2122.5178,2146.7572,2129.9876,2176.1912,2142.1864,2136.7261,2186.7313,2178.4153,2207.9446
8886-2,ACTIVA E,A,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,8886-2A,1168.5585,1169.539,1169.4502,1171.1882,1172.4196,1178.0426,1185.4426,1189.4581,1184.7272,1184.6938,1182.9313,1180.7512,1187.6159,1192.7212,1196.0844,1201.5353,1207.3287,1213.4992,1217.8301,1226.3145,1232.0544,1228.9442,1222.2405,1235.5256,1240.6135,1246.936,1250.3467,1257.3398,1257.2862,1259.5905,1260.9203,1261.8558,1258.9383,1257.7163,1256.0904,1260.9452,1265.8843,1269.677,1272.438,1273.5784,1276.4584,1280.0375,1282.9752,1284.765,1285.5541,1283.7827,1287.2048,1291.798,1295.0921,1296.1442,1304.0279,1311.3386,1323.0676,1338.0688,1351.0077,1359.9347,1364.3046,1342.4954,1325.655,1343.0255,1345.8274,1336.6173,1327.6502,1364.671,1382.2668,1384.9889,1386.9078,1396.2998,1388.6695,1394.5123,1398.2333,1398.3511,1407.2619
8886-2,ACTIVA E,APV,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,8886-2APV,1119.5085,1119.5887,1118.5537,1119.2956,1119.5211,1123.9657,1130.0656,1132.931,1127.498,1126.5091,1123.9089,1120.8853,1126.445,1130.3887,1132.6138,1136.8407,1141.3523,1146.243,1149.5367,1156.8573,1161.6035,1157.9824,1151.0034,1162.8226,1166.9172,1172.2344,1174.742,1180.6328,1179.8808,1181.3633,1181.9076,1182.0815,1178.67,1176.826,1174.6287,1178.4677,1182.3806,1185.2864,1187.1578,1187.5383,1189.5163,1192.1655,1194.1913,1195.1465,1195.1927,1192.8363,1195.3279,1198.8803,1201.223,1201.5534,1208.1433,1214.2176,1224.3497,1237.5194,1248.7434,1256.2475,1259.5593,1238.6878,1222.4694,1237.7515,1239.5987,1230.4332,1221.4542,1254.7938,1270.2198,1271.9911,1272.9987,1280.8598,1273.1922,1277.9587,1280.8434,1280.4087,1288.0208
8886-2,ACTIVA E,E,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,8886-2E,1167.5258,1167.8781,1167.0954,1168.1575,1168.6908,1173.6204,1180.2907,1183.5849,1178.1993,1177.4657,1175.0377,1172.1751,1178.2892,1182.6966,1185.3266,1190.0437,1195.071,1200.488,1204.2444,1212.2223,1217.4959,1214.0099,1206.9909,1219.6958,1224.3026,1230.1645,1233.1102,1239.5994,1239.1255,1240.9886,1241.8768,1242.376,1239.0961,1237.4729,1235.4669,1239.8207,1244.2544,1247.5994,1249.8877,1250.5967,1252.999,1256.0993,1258.5544,1259.8821,1260.2416,1258.0776,1261.0165,1265.0864,1267.8816,1268.5223,1275.8045,1282.5353,1293.5671,1307.8039,1320.0017,1328.2724,1332.1026,1310.3629,1293.5376,1310.0423,1312.3306,1302.9366,1293.7572,1329.3969,1346.082,1348.2906,1349.7015,1358.3815,1350.5822,1355.9829,1359.3779,1359.2617,1367.6911
8886-2,ACTIVA E,GLOBA,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,8886-2GLOBA,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435,1065.5435
8886-2,ACTIVA E,INVER,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,8886-2INVER,1165.9962,1166.169,1165.1894,1166.0581,1166.3923,1171.1196,1177.5756,1180.6617,1175.0962,1174.1653,1171.5514,1168.4987,1174.3943,1178.5997,1181.0199,1185.5247,1190.3308,1195.5296,1199.0668,1206.8053,1211.856,1208.181,1200.9981,1213.4337,1217.81,1223.453,1226.1743,1232.4242,1231.7438,1233.3929,1234.0659,1234.3523,1230.8911,1229.0697,1226.8756,1230.9901,1235.1822,1238.3128,1240.3733,1240.8728,1243.0452,1245.916,1248.1392,1249.2437,1249.3947,1247.0376,1249.7452,1253.5658,1256.1221,1256.564,1263.5629,1270.0202,1280.7268,1294.6094,1306.462,1314.4247,1317.9983,1296.2685,1279.4147,1295.519,1297.5624,1288.0704,1278.7791,1313.7909,1330.0546,1332.0187,1333.1865,1341.5331,1333.6119,1338.7179,1341.8495,1341.5074,1349.5976
8886-2,ACTIVA E,PATRI,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,8886-2PATRI,1217.9953,1219.4848,1219.9103,1221.7467,1222.2006,1227.2551,1234.1255,1237.4648,1231.7329,1230.8615,1228.2225,1225.1262,1231.4121,1235.9198,1238.563,1243.3898,1248.5364,1254.0926,1257.91,1266.1359,1271.5396,1267.7912,1260.3577,1273.5161,1278.2177,1284.2392,1287.2052,1293.8726,1293.2682,1295.1061,1295.9229,1296.3339,1292.8052,1291.0021,1288.8035,1293.2355,1297.75,1301.1391,1303.4151,1304.0473,1306.4414,1309.5663,1312.0146,1313.2873,1313.554,1311.1871,1314.1421,1318.2717,1321.0721,1321.6384,1329.1127,1336.0148,1347.3923,1362.1095,1374.6966,1383.1925,1387.067,1364.3143,1346.6861,1363.7528,1366.0192,1356.1341,1346.4656,1383.4446,1400.6894,1402.8729,1404.2217,1413.1328,1404.9043,1410.4027,1413.8181,1413.5777,1422.2232
8886-2,ACTIVA E,PERSO,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,8886-2PERSO,1142.4763,1142.1373,1140.6159,1140.9221,1140.6869,1144.7643,1150.508,1152.955,1146.9731,1145.4999,1142.405,1138.8671,1144.7664,1149.1392,1151.792,1156.4703,1161.454,1166.8141,1170.3207,1177.7738,1182.6058,1178.9193,1171.8142,1183.8471,1188.0157,1193.4292,1195.9822,1201.9795,1201.2139,1202.7233,1203.2775,1203.4545,1199.9814,1198.1041,1195.8671,1199.7756,1203.7592,1206.7176,1208.623,1209.0104,1211.0242,1213.7213,1215.7838,1216.7563,1216.8033,1214.4044,1216.9412,1220.5579,1222.943,1223.2794,1229.9884,1236.1726,1246.488,1259.8959,1271.3229,1278.9627,1282.3345,1261.0856,1244.5876,1260.146,1262.0267,1252.6956,1243.5542,1277.4973,1293.2023,1295.0055,1296.0314,1304.035,1296.2132,1301.0233,1303.9065,1303.4085,1311.1018
8555-3,ACTIVO AGRESIVO,B,Balanceado Agresivo,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8555-3B,654.5472,678.5552,673.7278,668.0166,675.6633,689.8296,723.8709,699.8258,676.9396,722.8474,747.6845,729.0833,672.24,647.3919,668.7639,664.9795,702.7523,669.9756,693.4894,719.6054,700.0297,681.3822,725.1577,735.117,727.7885,748.126,771.1947,782.8655,801.9767,795.656,796.3134,770.3645,792.6492,806.9939,807.3255,801.9619,830.3734,793.0645,791.25,803.7051,799.3124,800.2801,812.8274,831.6536,819.4976,796.2003,782.0244,759.6691,785.6888,785.3963,807.0558,823.3704,804.5659,815.4412,833.631,827.71,852.2862,867.9493,934.0128,914.034,947.9981,903.5747,798.5552,862.0564,860.4176,908.1299,899.7818,952.3725,940.7366,917.2318,1002.2521,988.5222,1021.5652
9043-3,ACTIVO EQUILIBRADO,B,Balanceado Moderado,FM MIXTO,4,P,9043-3B,3273.2299,3314.6961,3315.5226,3292.6511,3304.4667,3297.6209,3434.8935,3438.4117,3376.3184,3476.8267,3495.7704,3448.4559,3383.1654,3316.6537,3372.9189,3346.7446,3446.3368,3366.7906,3433.9691,3518.6708,3464.1546,3440.3799,3463.0899,3464.0064,3459.2153,3514.7841,3632.0551,3651.9461,3682.5502,3658.4617,3714.8896,3680.2672,3734.3018,3769.8312,3748.9394,3772.0371,3855.4063,3767.2629,3767.3366,3803.2294,3797.2669,3803.7493,3844.5926,3893.9178,3866.7938,3795.1134,3763.5505,3710.6715,3791.3374,3796.3395,3869.9652,3915.0966,3885.9499,3945.6286,4012.2665,4022.127,4089.1184,4073.4054,4184.2681,4159.2932,4271.5935,4156.0208,3844.2902,4040.1198,4066.0125,4207.0839,4181.4045,4319.9889,4269.373,4229.4275,4449.7596,4409.6079,4518.9094
