,fundRUN,fundName,fundSeries,bloombergCode,APV,aafmCategory,svsCategory,svsCategoryId,currency,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
0,8812-9,A. CHILE CALIFICADO,A,ACCHICA CI,NO,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8.0,P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8162-0,AC EMERGENTES,A,CORPASI CI,NO,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,,-0.00874661395905807,0.014149144903213617,0.02529068338549112,-0.005215035169472415,-0.0036616733244683175,0.0014832340625057228,-0.057144871123644525,-0.018715773940863323,0.05161936596265759,-0.0021340786807351186,-0.015118393391719387,-0.08150766675869947,-0.0314836627292735,0.047042108527528326,-0.025014751092789944,0.03735193016916538,-0.024269251251978985,0.042266141529389234,0.04636150694668584,-0.017795456484990257,-0.031143801100976365,-0.010075017643564,-0.03169566113039257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8587-1,ACCIONES CHILENAS,A,A18TERA CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,,0.02620900702028095,-0.0050032963705327616,0.010991240949028924,-0.019522265458551513,-0.046566949470147945,-0.017575783522232102,-0.005994426749019066,-0.02649753619242945,0.022371139197585155,-0.04810025249455674,0.002098427877385456,0.010877259698679254,0.011897902352148826,0.03843184858864657,0.0029224379302981163,-0.025163161904322662,0.0029429678999406406,0.009975300993278147,-0.024794554704711036,-0.05213212908989284,0.0458615058019769,-0.03012111922670624,-0.030784424021113255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8247-3,ACCIONES LATAM,A,EUCAPIA CI,NO,Accionario America Latina,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,,0.017204452561472294,-0.05082990490329553,0.05047571701856479,-0.04950628198495988,0.020643683888744047,-0.025067211237718934,-0.07531846134991993,-0.050856357256006346,0.05297808975619933,0.019148222789961755,-0.053516092889703715,-0.05287323829294088,0.028784545672261297,0.11386283533228636,0.05340349556584156,-0.037414646964668674,0.03234000326633746,0.044100546579337596,0.03496546563187741,-0.033545773155080005,0.04759490229286012,-0.07260511220703203,-0.009393692533469111,0.054087402964757336,0.04360963476866342,0.03290533881599922,-0.006947371009078718,-0.006817040000921759,-0.020022299397687515,0.04285762738106347,0.012733054935853083,0.03283877208900399,-0.0010296482569320808,-0.015579533976200932,-0.001619370192799452,0.07904594507738882,-0.03410662845214896,-0.01783636401124611,-0.00459479921703243,-0.12137370171124662,-0.03300100715979848,0.08046870634367376,-0.030470923109984338,0.00332415339642278,0.08490111261026101,-0.04217528371886925,0.011576606158001379,0.07344493261365703,-0.038045818057492964,-0.028370858718183123,0.014725475781869557,0.02769518397857862,0.030618882434448214,0.04626869577505577,-0.08035640738482341,0.04473549749863204,0.07599354363926936,0.024356196534048635,0.016468763919764262,0.02808611810390249,-0.09570864245641231,-0.3573098727269499,0.035468469187859286,0.0589498600265963,0.08818038190282085,0.03277000338649816,-0.03544535216420208,-0.06544756790982087,-0.019082440822907776,0.21366433608648538,0.006957911355092383,-0.017004657138340318
4,8872-2,ACCIONES NACIONALES,A,LARVIPI CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,,0.031452990668675795,-0.01149638056780189,0.019338402645054487,-0.008905521087390733,-0.039609999539856,-0.0019261145604985153,-0.010953482377243806,-0.0324078071568501,0.02373608601359245,-0.04414828618370337,0.001462208757288641,0.007058877755115711,0.01581496753039824,0.042780231345815434,0.011349577205823413,-0.024806223987677734,0.004693807076935785,0.0359909880128364,0.0016185478514689766,-0.02972401847215811,0.05310889335092006,-0.03500738586938201,-0.013866586169409278,0.005843691700490261,0.03494259238585129,0.09860228705945562,-0.005108758101530442,-0.003657285040991387,-0.0224866743449742,0.06417664918811594,0.017730353582732672,0.037703182191583196,0.04389733669958451,-0.11053266648054683,0.11614893022512573,0.0512992168726516,-0.04500935046753951,-0.017511592281801436,0.0294820144632868,-0.05989013820456435,-0.03514845740930361,0.021029381306054917,-0.03111543344130252,0.0081644759599655,-0.04196463757930624,0.0026328625979559206,-0.006135590488674403,0.05019143811746063,-0.03265435996324029,-0.02003043784058811,-0.02360544133548992,-0.05739676227396151,0.015390551276270203,-0.02127694198235852,-0.042572964312758255,0.06019022156124754,-0.07449618937179925,-0.07032484830378627,0.03539908280376847,-0.02508553967243976,-0.10623052631924212,-0.17081784562163793,0.14952685802356225,-0.07241058003122802,0.07884998126693166,0.008476808242709355,-0.054727561391824664,-0.03881051094387977,-0.03827397344859518,0.13284614282761775,0.04047057364630713,0.025393602085157507
5,8740-8,ACTIVA A,A,BACCINA CI,NO,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,,0.016769074814720453,-0.0008200987126000259,-0.008684898558653398,0.0047305776056465465,-0.001949091208184206,0.03297754448726309,-0.0319831445941996,-0.03923005739402152,0.04195980748560246,0.014940797817585061,-0.015871293054764424,-0.051049277176752894,-0.04198406037370361,0.0074262676971308395,-0.01593224984353092,0.040568674705472985,-0.043879730020571994,0.018239062690412755,0.003923580413095484,-0.027882262308820738,-0.0065418486304364976,0.007709379765955315,-0.004583100189912592,-0.005098902876219613,0.019895910759648805,0.035112506767731366,0.014008275114067548,0.01704572934055193,-0.015855635802970114,0.017650467185994057,-0.023037483828159733,0.026637034943339133,0.012765823377915764,-0.029548977700549317,0.01070992347588784,0.03696204368140976,-0.0546158396059635,-0.005113029602147545,0.012072431084423352,0.009254595928616993,0.0035021298820714364,0.005782862023733459,0.04724205337722198,-0.0213871388629433,-0.024563535719753782,-0.013141053336064634,-0.03739054082526949,0.036690939751647944,0.009053414570887375,0.039092431668298344,0.03235277709348394,-0.023764566478761684,0.0191361654292177,0.02699709798609029,-0.0006364404970475857,0.024128636907652767,0.002699800006212616,0.07620783334697734,-0.02866203055240457,0.04657608799137258,-0.04723072298020403,-0.07259230197693234,0.07806080568949958,0.012989984127929066,0.05158982206718021,-0.015405797936748455,0.06182230809481637,-0.014575696935862026,-0.032137302907363496,0.078578539896063,-0.019530645659576296,0.026787764096824374
6,8116-7,ACTIVA C,A,RMIX50A CI,NO,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,,0.013058418557591711,0.0012642830058118282,-0.012994385175359113,0.0043196565821777,0.00040281120868024267,0.02096410475625876,-0.01407748931342856,-0.022749502428050628,0.022355289054865723,0.004915954711540493,-0.01228192327457478,-0.02698984921617853,-0.017379756047220418,0.0035328724723449056,-0.007178084112730798,0.02586326366727354,-0.02306622536777725,0.013029017630084905,0.00433966153893639,-0.011095698350269911,-0.012906819351879206,-0.004250096320003616,0.010443225823876245,-0.0014072512251956937,0.0190943806411612,0.022479674111459236,0.0072946576773218474,0.007390861824099426,-0.009838647650721177,0.008394466014937318,-0.013891601026932321,0.013289361854985637,0.008900868483628477,-0.022978667010790654,0.004082115503577288,0.021671589362613153,-0.029779705562835712,-0.004125082849701256,0.007790270050047843,0.0057571713348552045,0.0021551101459351685,0.0038758424887204157,0.02496796449050387,-0.011825449524095477,-0.017563781054602656,-0.0065457479457748935,-0.02008281912069798,0.02150380246641026,0.0038905342320101344,0.031600045020318435,0.02204024266369564,-0.004006758899640417,0.01598623527760723,0.027095680832057933,0.0035809232911507838,0.01260548731622535,-0.008718291185537241,0.04248581596205625,-0.006445863656616702,0.02212818754548196,-0.03541307946903949,-0.04368501157625837,0.061098801864723606,0.023315768772159462,0.024286816028009417,-0.01106773972924735,0.03716010805941883,-0.014130509592105822,-0.015179925446731635,0.04714757168465522,-0.012316379357921514,0.018406640065980584
7,8741-6,ACTIVA D,A,ADACCLA CI,NO,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,,0.008357027001824058,-0.00036245921033817297,-0.012259586455930505,0.006171026494280696,0.003088661078857413,0.020879848766426345,-0.002833008407187143,-0.015815565548418675,0.012077245201255415,0.003450353320914701,-0.007874582454806212,-0.010454980775241762,-0.0031738989085250413,0.003928342340151714,-0.002162678526684947,0.014089621772078287,-0.010254307972637156,0.008958478495473265,0.008824350634227596,-0.003377607103284719,-0.00876867197398079,-0.010751867916211966,0.015456202274385156,0.0025448651705646252,0.01249704155818332,0.015468184743863134,0.005080608585055435,0.004393155635851853,-0.004981574274665723,0.004663299973735491,-0.00650577383397255,0.002602740033821771,0.0012971616579000589,-0.014127691772956474,0.004922289856539752,0.014118882829161628,-0.01566269752150229,-0.0012653295267277542,0.004568124609906077,0.0046826920763411994,0.002529711975219895,0.0036186898846304327,0.013639010159153697,-0.006098105855414371,-0.009808646529172682,-0.001095140802515715,-0.007852289573808457,0.011711238694752657,0.0024062210423294594,0.015852564767793842,0.011873836591451914,0.0018279830721519286,0.01601169132014091,0.021914204148908434,0.007404805136645987,0.01043578754799368,-0.021564525901242027,0.017091069133825076,0.0035513520251724273,0.01551453502767286,-0.024876418055072458,-0.021904568849478223,0.04402013599114629,0.02204248309277368,0.012647863161316497,-0.006567213105963865,0.022973663037041403,-0.014484830927477654,-0.0017205345703297237,0.024225243993985845,-0.0029756555669304685,0.014399485603388662
8,8886-2,ACTIVA E,A,BACTIEA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversi�n en Pesos",FM DE LIBRE INVERSION,6.0,P,,0.0008390679627934272,-7.592735257222483e-05,0.0014861684576221723,0.001051410866331981,0.004796064480668827,0.006281606454639377,0.0033873424153982867,-0.003977357420156258,-2.8192144149286058e-05,-0.00148772619557902,-0.0018429641687560672,0.005813841222435334,0.004298780439029093,0.002819770454319137,0.0045572870944559085,0.004821664415519011,0.0051108699726925,0.003568935191716527,0.006966817456720786,0.004680610071886138,-0.0025244015199329395,-0.005454844898572175,0.010869464724822864,0.004118004515649032,0.0050962689024423025,0.002735264680785665,0.0055929287452831655,-4.262968530854838e-05,0.001832756933146884,0.001055739940877487,0.0007419184225998521,-0.002312070840424063,-0.0009706591657430153,-0.001292739865103143,0.003865008442067497,0.003916982276469971,0.00299608739914059,0.00217456880765754,0.0008962322722207983,0.002261344884617822,0.002803929998815402,0.002295010888353044,0.0013950386570216189,0.000614197927247373,-0.0013779272299782042,0.002665638039833329,0.003568352137903741,0.0025500116891341573,0.0008123746565977807,0.0060824250881963415,0.005606245081106076,0.008944295546550629,0.01133819617380083,0.009669831625997105,0.00660766034123994,0.0032133160511309544,-0.01598557975982773,-0.012544102571971583,0.013103333823657026,0.0020862597173321173,-0.006843448127152096,-0.0067088013898966015,0.027884453299521272,0.012893803707999973,0.0019693014402140108,0.0013854984686159089,0.00677189932885236,-0.005464657375156889,0.004207480613637848,0.002668316371250423,8.424917358218487e-05,0.00637236242028183
9,8555-3,ACTIVO AGRESIVO,A,BWDEUTC CI,NO,Balanceado Agresivo,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,,0.03361741922255623,-0.010360488247733723,-0.011613742733344035,0.008140739728016655,0.01773674606317832,0.04591678431325663,-0.03637864753041242,-0.03576254910285592,0.06432554867782558,0.031087527459589648,-0.0280659856238219,-0.08097976715052024,-0.039908089552565085,0.02963600800273425,-0.008805065446706783,0.05334845592549442,-0.049656871301731575,0.03171198926175833,0.03426685277845465,-0.030279950433724334,-0.02981976070476222,0.060878093947076994,0.010419317001746586,-0.013205850088602866,0.02490855461584207,0.027465561384606207,0.011922277088483924,0.021063178958779627,-0.011020595093201413,-0.0024459892945752904,-0.03574907355707002,0.025671896029609842,0.014768565878047868,-0.002753993976788105,-0.009256947775995394,0.03324870946161118,-0.046745645781497425,-0.004386995880135358,0.013672180114015164,-0.007557884512379931,-0.000828063083822439,0.013541734586818288,0.021009024598102055,-0.016392753028074303,-0.030200865336056926,-0.019538857223708184,-0.030359055744426988,0.03236460074421532,-0.002019408654739596,0.025703098387986012,0.018413498787039684,-0.024621512585129568,0.011727508282908694,0.020441036778960697,-0.00891425295139836,0.02787310838800927,0.016519516425385516,0.07421406235792105,-0.023175650994487706,0.03526626996771243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
